"N° CAS";"NOM SA";"CLASSEMENT RÉFÉRENCE";"CLASSEMENT DATE";"CLASSEMENT CATÉGORIE DANGER";"CLASSEMENT CODE H";"CLASSEMENT MENTION DANGER";"FACTEUR M VALEUR";"FACTEUR M ORIGINE";"FACTEUR M DATE"
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";05/06/14
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";05/06/14
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité pour la reproduction, catégorie 2(fd)";"H361fd";"Susceptible de nuire à la fertilité. Susceptible de nuire au foetus";;"";
"57966-95-7";"cymoxanil";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3";"H335";"Peut irriter les voies respiratoires";;"";
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100000;"UE";11/03/21
"52315-07-8";"cypermethrine";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100000;"UE";11/03/21
"94361-06-5";"cyproconazole";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"94361-06-5";"cyproconazole";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité pour la reproduction, catégorie 1B(D)";"H360D";"Peut nuire au foetus";;"";
"94361-06-5";"cyproconazole";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"94361-06-5";"cyproconazole";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";04/05/17
"94361-06-5";"cyproconazole";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";04/05/17
"121552-61-2";"cyprodinil";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"121552-61-2";"cyprodinil";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";19/11/13
"121552-61-2";"cyprodinil";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";19/11/13
"221667-31-8";"cyprosulfamide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";28/04/11;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"221667-31-8";"cyprosulfamide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";28/04/11;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"66215-27-8";"cyromazine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sans classement";"Sans classement";"Sans classement";;"";
"1596-84-5";"daminozide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";25/05/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"533-74-4";"dazomet";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"533-74-4";"dazomet";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"533-74-4";"dazomet";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"533-74-4";"dazomet";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"52918-63-5";"deltamethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"52918-63-5";"deltamethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000000;"ANSES";19/03/13
"52918-63-5";"deltamethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"52918-63-5";"deltamethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000000;"ANSES";19/03/13
"1918-00-9";"dicamba";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"1918-00-9";"dicamba";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"1918-00-9";"dicamba";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"15165-67-0";"dichlorprop-P";"Règlement (CE) N°1272/2008 (ATP 0)";31/12/08;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"15165-67-0";"dichlorprop-P";"Règlement (CE) N°1272/2008 (ATP 0)";31/12/08;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"15165-67-0";"dichlorprop-P";"Règlement (CE) N°1272/2008 (ATP 0)";31/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"15165-67-0";"dichlorprop-P";"Règlement (CE) N°1272/2008 (ATP 0)";31/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"257-141-8";"diclofop methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";17/09/13
"257-141-8";"diclofop methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";17/09/13
"257-141-8";"diclofop methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"257-141-8";"diclofop methyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"119446-68-3";"difenoconazole";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";24/01/17;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"119446-68-3";"difenoconazole";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";24/01/17;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";21/12/12
"119446-68-3";"difenoconazole";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";24/01/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";21/12/12
"119446-68-3";"difenoconazole";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";24/01/17;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"35367-38-5";"diflubenzuron";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";19/03/19;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";23/04/19
"35367-38-5";"diflubenzuron";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";19/03/19;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";23/04/19
"83164-33-4";"diflufenican";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"UE";11/03/21
"83164-33-4";"diflufenican";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"UE";11/03/21
"50563-36-5";"dimethachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"50563-36-5";"dimethachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"50563-36-5";"dimethachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";18/09/12
"50563-36-5";"dimethachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";18/09/12
"163515-14-8";"Dimethenamid-P";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";17/07/12
"163515-14-8";"Dimethenamid-P";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";17/07/12
"163515-14-8";"Dimethenamid-P";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"163515-14-8";"Dimethenamid-P";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"110488-70-5";"dimethomorphe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"UE";11/03/21
"110488-70-5";"dimethomorphe";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité pour la reproduction, catégorie 1B(F)";"H360F";"Peut nuire à la fertilité";;"";
"149961-52-4";"dimoxystrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"149961-52-4";"dimoxystrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"149961-52-4";"dimoxystrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";10/08/09
"149961-52-4";"dimoxystrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"UE";10/08/09
"149961-52-4";"dimoxystrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/07/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"3347-22-6";"dithianon";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"3347-22-6";"dithianon";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";16/04/13
"3347-22-6";"dithianon";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";16/04/13
"2439-10-3 ";"doguadine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"2439-10-3 ";"doguadine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"2439-10-3 ";"doguadine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"2439-10-3 ";"doguadine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"2439-10-3 ";"doguadine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1";"H370";"Risque avéré d'effets graves pour les organes";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"UE";11/03/21
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"UE";11/03/21
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par voie cutanée), catégorie 3";"H311";"Toxique par contact cutané";;"";
"155569-91-8";"emamectine benzoate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1";"H370";"Risque avéré d'effets graves pour les organes";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"UE";11/03/21
"66230-04-4";"esfenvalerate";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"UE";11/03/21
"16672-87-0";"ethephon";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"16672-87-0";"ethephon";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité aiguë (par voie cutanée), catégorie 3";"H311";"Toxique par contact cutané";;"";
"16672-87-0";"ethephon";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"16672-87-0";"ethephon";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"16672-87-0";"ethephon";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Corrosif pour la peau, catégorie 1C";"H314";"Provoque des brûlures de la peau et des lésions oculaires graves";;"";
"26225-79-6";"ethofumesate";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";19/05/20
"26225-79-6";"ethofumesate";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";19/05/20
"80844-07-1";"etofenprox";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"UE";05/06/14
"80844-07-1";"etofenprox";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Effet sur ou via la lactation, catégorie Lacta.";"H362";"Peut être nocif pour les bébés nourris au lait maternel";;"";
"80844-07-1";"etofenprox";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";05/06/14
"153233-91-1";"etoxazole";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";05/02/21
"153233-91-1";"etoxazole";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"UE";05/02/21
"8000-78-0 ou 8008-99-9";"extrait d'ail";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";18/09/18;"Sans classement";"Sans classement";"Sans classement";;"";
"131807-57-3";"famoxadone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";28/09/21
"131807-57-3";"famoxadone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";28/09/21
"131807-57-3";"famoxadone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"120928-09-8";"fenazaquin";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"120928-09-8";"fenazaquin";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"120928-09-8";"fenazaquin";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"120928-09-8";"fenazaquin";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"114369-43-6";"fenbuconazole";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";16/04/13
"114369-43-6";"fenbuconazole";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";16/04/13
"126833-17-8";"fenhexamid";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"71283-80-2";"fenoxaprop-P-ethyl";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"71283-80-2";"fenoxaprop-P-ethyl";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"71283-80-2";"fenoxaprop-P-ethyl";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";17/09/13
"71283-80-2";"fenoxaprop-P-ethyl";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";17/09/13
"79127-80-3";"fenoxycarbe";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";05/06/14
"79127-80-3";"fenoxycarbe";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"79127-80-3";"fenoxycarbe";"Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008)";05/06/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"UE";05/06/14
"517875-34-2";"fenpicoxamide";"Classement adapté par l'ANSES selon les conclusions de l'EFSA";19/03/19;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";05/02/19
