"Numéro CAS";"Nom SA";"Nature de l'étude";"DL50/CL50";"Valeur";"Unité";"Espèce";"Sexe"
"210880-92-5";"clothianidine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";""
"210880-92-5";"clothianidine";"Toxicité aiguë inhalation";"CL50";">5.54";"mg/L";"rat";""
"210880-92-5";"clothianidine";"Toxicité aiguë VO";"DL50";"500";"mg/kg";"rat";""
"8011-63-0";"cuivre de la bouillie bordelaise";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"8011-63-0";"cuivre de la bouillie bordelaise";"Toxicité aiguë inhalation";"CL50";"3,98";"mg/L";"rat";"M"
"8011-63-0";"cuivre de la bouillie bordelaise";"Toxicité aiguë inhalation";"CL50";"1,97";"mg/L";"rat";"M"
"8011-63-0";"cuivre de la bouillie bordelaise";"Toxicité aiguë VO";"DL50";"2437";"mg/kg";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë inhalation";"CL50";">11,65";"mg/L";"";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë inhalation";"CL50";"0,205-1,08";"mg/L";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë inhalation";"CL50";"0,56";"mg/L";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë VO";"DL50";"489";"mg/kg";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë VO";"DL50";"763";"mg/kg";"rat";"MF"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë VO";"DL50";"1180";"mg/kg";"rat";"F"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Toxicité aiguë VO";"DL50";"1280";"mg/kg";"rat";"M"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë inhalation";"CL50";"2.83";"mg/L";"rat";"M"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë inhalation";"CL50";"4,74";"mg/L";"rat";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë inhalation";"CL50";">11.4";"mg/L";"rat";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"1398";"mg/kg";"rat";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"299";"mg/kg";"souris";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"221";"mg/kg";"souris";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"1862";"mg/kg";"rat";"MF"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"1200";"mg/kg";"rat";"M"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Toxicité aiguë VO";"DL50";"950";"mg/kg";"rat";"F"
"1317-39-1";"cuivre de l'oxyde cuivreux";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"1317-39-1";"cuivre de l'oxyde cuivreux";"Toxicité aiguë inhalation";"CL50";"2,92";"mg/L";"rat";"M"
"1317-39-1";"cuivre de l'oxyde cuivreux";"Toxicité aiguë inhalation";"CL50";"3,34";"mg/L";"rat";"MF"
"1317-39-1";"cuivre de l'oxyde cuivreux";"Toxicité aiguë VO";"DL50";"300 - 500";"mg/kg";"rat";"MF"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"Toxicité aiguë VO";"DL50";"300 - 500";"mg/kg";"rat";"MF"
"736994-63-1";"cyantraniliprole";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"736994-63-1";"cyantraniliprole";"Toxicité aiguë inhalation";"CL50";">5,2";"mg/L";"rat";"MF"
"736994-63-1";"cyantraniliprole";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"F"
"120116-88-3";"cyazofamid";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"120116-88-3";"cyazofamid";"Toxicité aiguë inhalation";"CL50";">5.5";"mg/L";"rat";"MF"
"120116-88-3";"cyazofamid";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"101205-02-1";"cycloxidime";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"101205-02-1";"cycloxidime";"Toxicité aiguë inhalation";"CL50";"> 5.28";"mg/L";"rat";"MF"
"101205-02-1";"cycloxidime";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"101205-02-1";"cycloxidime";"Toxicité aiguë VO";"DL50";"3830";"mg/kg";"rat";"F"
"101205-02-1";"cycloxidime";"Toxicité aiguë VO";"DL50";"4420";"mg/kg";"rat";"M"
"400882-07-7";"cyflumetofene";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"rat";"MF"
"400882-07-7";"cyflumetofene";"Toxicité aiguë inhalation";"CL50";"> 2,65";"mg/L";"rat";"MF"
"400882-07-7";"cyflumetofene";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"F"
"122008-85-9";"cyhalofop butyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"122008-85-9";"cyhalofop butyl";"Toxicité aiguë inhalation";"CL50";"> 5.63";"mg/L";"rat";"MF"
"122008-85-9";"cyhalofop butyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"122008-85-9";"cyhalofop butyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"57966-95-7";"cymoxanil";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"57966-95-7";"cymoxanil";"Toxicité aiguë inhalation";"CL50";">5.6";"mg/L";"rat";"MF"
"57966-95-7";"cymoxanil";"Toxicité aiguë VO";"DL50";"960";"mg/kg";"rat";"MF"
"52315-07-8";"cypermethrine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"52315-07-8";"cypermethrine";"Toxicité aiguë inhalation";"CL50";"3.28";"mg/L";"rat";"M"
"52315-07-8";"cypermethrine";"Toxicité aiguë VO";"DL50";"1945";"mg/kg";"rat";"MF"
"52315-07-8";"cypermethrine";"Toxicité aiguë VO";"DL50";"500";"mg/kg";"rat";"F"
"94361-06-5";"cyproconazole";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"94361-06-5";"cyproconazole";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"94361-06-5";"cyproconazole";"Toxicité aiguë inhalation";"CL50";">5.47";"mg/L";"rat";"MF"
"94361-06-5";"cyproconazole";"Toxicité aiguë VO";"DL50";"218";"mg/kg";"souris";"F"
"94361-06-5";"cyproconazole";"Toxicité aiguë VO";"DL50";"200";"mg/kg";"souris";"M"
"94361-06-5";"cyproconazole";"Toxicité aiguë VO";"DL50";"460";"mg/kg";"lapin";"F"
"94361-06-5";"cyproconazole";"Toxicité aiguë VO";"DL50";"350";"mg/kg";"rat";""
"94361-06-5";"cyproconazole";"Toxicité aiguë VO";"DL50";"270";"mg/kg";"souris";"M"
"121552-61-2";"cyprodinil";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"121552-61-2";"cyprodinil";"Toxicité aiguë inhalation";"CL50";">1.203";"mg/L";"rat";"MF"
"121552-61-2";"cyprodinil";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
"221667-31-8";"cyprosulfamide";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"221667-31-8";"cyprosulfamide";"Toxicité aiguë inhalation";"CL50";"> 3.513";"mg/L";"rat";"MF"
"221667-31-8";"cyprosulfamide";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"F"
"66215-27-8";"cyromazine";"Toxicité aiguë cutanée";"DL50";"> 3100";"mg/kg";"rat";"MF"
"66215-27-8";"cyromazine";"Toxicité aiguë inhalation";"CL50";"> 3,6";"mg/L";"rat";"MF"
"66215-27-8";"cyromazine";"Toxicité aiguë VO";"DL50";"3387";"mg/kg";"rat";"MF"
"1596-84-5";"daminozide";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"lapin";"MF"
"1596-84-5";"daminozide";"Toxicité aiguë inhalation";"CL50";">2.1";"mg/L";"rat";"MF"
"1596-84-5";"daminozide";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"533-74-4";"dazomet";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"533-74-4";"dazomet";"Toxicité aiguë inhalation";"CL50";"> 8.40";"mg/L";"rat";"M"
"533-74-4";"dazomet";"Toxicité aiguë inhalation";"CL50";"7.29";"mg/L";"rat";"F"
"533-74-4";"dazomet";"Toxicité aiguë VO";"DL50";"415";"mg/kg";"rat";"F"
"533-74-4";"dazomet";"Toxicité aiguë VO";"DL50";"596";"mg/kg";"rat";"M"
"52918-63-5";"deltamethrine";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"52918-63-5";"deltamethrine";"Toxicité aiguë inhalation";"CL50";"0.6";"mg/L";"rat";""
"52918-63-5";"deltamethrine";"Toxicité aiguë VO";"DL50";"87";"mg/kg";"rat";""
"1918-00-9";"dicamba";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"1918-00-9";"dicamba";"Toxicité aiguë inhalation";"CL50";"4,46";"mg/L";"rat";"MF"
"1918-00-9";"dicamba";"Toxicité aiguë VO";"DL50";"1581";"mg/kg";"rat";"F"
"15165-67-0";"dichlorprop-P";"Toxicité aiguë cutanée";"DL50";">4000";"mg/kg";"rat";""
"15165-67-0";"dichlorprop-P";"Toxicité aiguë inhalation";"CL50";">7.4";"mg/L";"rat";""
"15165-67-0";"dichlorprop-P";"Toxicité aiguë VO";"DL50";"567";"mg/kg";"rat";""
"257-141-8";"diclofop methyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"257-141-8";"diclofop methyl";"Toxicité aiguë cutanée";"DL50";"200";"mg/kg";"lapin";""
"257-141-8";"diclofop methyl";"Toxicité aiguë inhalation";"CL50";">1.36";"mg/L";"rat";"MF"
"257-141-8";"diclofop methyl";"Toxicité aiguë VO";"DL50";"> 512";"mg/kg";"rat";"MF"
"119446-68-3";"difenoconazole";"Toxicité aiguë cutanée";"DL50";">2010";"mg/kg";"lapin";"MF"
"119446-68-3";"difenoconazole";"Toxicité aiguë inhalation";"CL50";"3,3";"mg/L";"rat";"MF"
"119446-68-3";"difenoconazole";"Toxicité aiguë VO";"DL50";"1453";"mg/kg";"rat";"MF"
"119446-68-3";"difenoconazole";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"souris";""
"35367-38-5";"diflubenzuron";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë cutanée";"DL50";">10000";"mg/kg";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë inhalation";"CL50";">3,7";"mg/L";"lapin";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë inhalation";"CL50";">2,49";"mg/L";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë inhalation";"CL50";"";"mg/L";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë inhalation";"CL50";">2,88";"mg/L";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë VO";"DL50";">4640";"mg/kg";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë VO";"DL50";">4640";"mg/kg";"souris";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"35367-38-5";"diflubenzuron";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"souris";"MF"
"83164-33-4";"diflufenican";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"83164-33-4";"diflufenican";"Toxicité aiguë inhalation";"CL50";"> 5.12";"mg/L";"rat";""
"83164-33-4";"diflufenican";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";""
"50563-36-5";"dimethachlore";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"50563-36-5";"dimethachlore";"Toxicité aiguë inhalation";"CL50";">4.45";"mg/L";"rat";"MF"
"50563-36-5";"dimethachlore";"Toxicité aiguë VO";"DL50";"1600";"mg/kg";"rat";"MF"
"163515-14-8";"Dimethenamid-P";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"163515-14-8";"Dimethenamid-P";"Toxicité aiguë inhalation";"CL50";">2,2";"mg/L";"rat";"MF"
"163515-14-8";"Dimethenamid-P";"Toxicité aiguë inhalation";"CL50";">5,16";"mg/L";"rat";"MF"
"163515-14-8";"Dimethenamid-P";"Toxicité aiguë VO";"DL50";"429";"mg/kg";"rat";"M"
"163515-14-8";"Dimethenamid-P";"Toxicité aiguë VO";"DL50";"531";"mg/kg";"rat";"F"
"110488-70-5";"dimethomorphe";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"M"
"110488-70-5";"dimethomorphe";"Toxicité aiguë inhalation";"CL50";">4.24";"mg/L";"rat";"MF"
"110488-70-5";"dimethomorphe";"Toxicité aiguë VO";"DL50";"3900";"mg/kg";"rat";"MF"
"110488-70-5";"dimethomorphe";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"110488-70-5";"dimethomorphe";"Toxicité aiguë VO";"DL50";"4472";"mg/kg";"rat";""
"149961-52-4";"dimoxystrobine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"149961-52-4";"dimoxystrobine";"Toxicité aiguë inhalation";"CL50";"1.3";"mg/L";"rat";""
"149961-52-4";"dimoxystrobine";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Toxicité aiguë inhalation";"CL50";"> 5.9";"mg/L";"rat";"MF"
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"F"
"3347-22-6";"dithianon";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"3347-22-6";"dithianon";"Toxicité aiguë inhalation";"CL50";"0,31";"mg/L";"rat";"M"
"3347-22-6";"dithianon";"Toxicité aiguë inhalation";"CL50";"0,58";"mg/L";"rat";"F"
"3347-22-6";"dithianon";"Toxicité aiguë VO";"DL50";"300";"mg/kg";"rat";"F"
"2439-10-3 ";"doguadine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";""
"2439-10-3 ";"doguadine";"Toxicité aiguë VO";"DL50";"660";"mg/kg";"rat";"F"
"2439-10-3 ";"doguadine";"Toxicité aiguë VO";"DL50";"535";"mg/kg";"lapin";""
"2439-10-3 ";"doguadine";"Toxicité aiguë VO";"DL50";"266 - 1720";"mg/kg";"souris";"M"
"2439-10-3 ";"doguadine";"Toxicité aiguë VO";"DL50";"176";"mg/kg";"cobaye";""
"2439-10-3 ";"doguadine";"Toxicité aiguë VO";"DL50";"750 - 1540";"mg/kg";"rat";"M"
"155569-91-8";"emamectine benzoate";"Toxicité aiguë cutanée";"DL50";"300";"mg/kg";"rat";"M"
"155569-91-8";"emamectine benzoate";"Toxicité aiguë cutanée";"DL50";"1893";"mg/kg";"rat";"F"
"155569-91-8";"emamectine benzoate";"Toxicité aiguë inhalation";"CL50";"0,66";"mg/L";"rat";"F"
"155569-91-8";"emamectine benzoate";"Toxicité aiguë inhalation";"CL50";"1,049 - 1,981";"mg/L";"rat";"M"
"155569-91-8";"emamectine benzoate";"Toxicité aiguë VO";"DL50";"60";"mg/kg";"rat";"F"
"66230-04-4";"esfenvalerate";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"66230-04-4";"esfenvalerate";"Toxicité aiguë inhalation";"CL50";"0,53";"mg/L";"rat";"MF"
"66230-04-4";"esfenvalerate";"Toxicité aiguë VO";"DL50";"88.5";"mg/kg";"rat";"MF"
"16672-87-0";"ethephon";"Toxicité aiguë cutanée";"DL50";"983";"mg/kg";"rat";""
"16672-87-0";"ethephon";"Toxicité aiguë inhalation";"CL50";"3.26";"mg/L";"rat";""
"16672-87-0";"ethephon";"Toxicité aiguë VO";"DL50";"1564";"mg/kg";"rat";""
"26225-79-6";"ethofumesate";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"rat";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë cutanée";"DL50";"> 20050";"mg/kg";"lapin";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë inhalation";"CL50";"> 0,16";"mg/L";"rat";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë VO";"DL50";"> 7500";"mg/kg";"rat";"MF"
"26225-79-6";"ethofumesate";"Toxicité aiguë VO";"DL50";"> 7500";"mg/kg";"souris";""
"26225-79-6";"ethofumesate";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"80844-07-1";"etofenprox";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"80844-07-1";"etofenprox";"Toxicité aiguë inhalation";"CL50";"> 5.88";"mg/L";"rat";""
"80844-07-1";"etofenprox";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";""
"153233-91-1";"etoxazole";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"153233-91-1";"etoxazole";"Toxicité aiguë inhalation";"CL50";">1.09";"mg/L";"rat";"MF"
"153233-91-1";"etoxazole";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"131807-57-3";"famoxadone";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"131807-57-3";"famoxadone";"Toxicité aiguë inhalation";"CL50";">5.3";"mg/L";"rat";"MF"
"131807-57-3";"famoxadone";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"souris";"MF"
"131807-57-3";"famoxadone";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"120928-09-8";"fenazaquin";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"lapin";"MF"
"120928-09-8";"fenazaquin";"Toxicité aiguë inhalation";"CL50";"1,9";"mg/L";"rat";"MF"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"138";"mg/kg";"rat";"F"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"812";"mg/kg";"hamster";"M"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"933";"mg/kg";"hamster";"F"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"1480";"mg/kg";"souris";"F"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"134";"mg/kg";"rat";"M"
"120928-09-8";"fenazaquin";"Toxicité aiguë VO";"DL50";"2449";"mg/kg";"souris";"M"
"114369-43-6";"fenbuconazole";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"M"
"114369-43-6";"fenbuconazole";"Toxicité aiguë inhalation";"CL50";">2.1";"mg/L";"rat";"MF"
"114369-43-6";"fenbuconazole";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
"126833-17-8";"fenhexamid";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"126833-17-8";"fenhexamid";"Toxicité aiguë inhalation";"CL50";">5";"mg/L";"rat";"MF"
"126833-17-8";"fenhexamid";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"126833-17-8";"fenhexamid";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"71283-80-2";"fenoxaprop-P-ethyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"71283-80-2";"fenoxaprop-P-ethyl";"Toxicité aiguë inhalation";"CL50";">1,224";"mg/L";"";""
"71283-80-2";"fenoxaprop-P-ethyl";"Toxicité aiguë VO";"DL50";">3150";"mg/kg";"rat";"MF"
"79127-80-3";"fenoxycarbe";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"79127-80-3";"fenoxycarbe";"Toxicité aiguë inhalation";"CL50";"> 4,4";"mg/L";"rat";"MF"
"79127-80-3";"fenoxycarbe";"Toxicité aiguë VO";"DL50";">10000";"mg/kg";"rat";"MF"
"517875-34-2";"fenpicoxamide";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"517875-34-2";"fenpicoxamide";"Toxicité aiguë inhalation";"CL50";">0,53";"mg/L";"rat";"MF"
"517875-34-2";"fenpicoxamide";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"F"
"67306-00-7";"fenpropidine";"Toxicité aiguë cutanée";"DL50";">4000";"mg/kg";"rat";""
"67306-00-7";"fenpropidine";"Toxicité aiguë inhalation";"CL50";"1.22";"mg/L";"rat";""
"67306-00-7";"fenpropidine";"Toxicité aiguë VO";"DL50";"1452";"mg/kg";"rat";""
"67564-91-4";"fenpropimorphe";"Toxicité aiguë cutanée";"DL50";">4000";"mg/kg";"rat";""
"67564-91-4";"fenpropimorphe";"Toxicité aiguë inhalation";"CL50";"2,9 - 9,1";"mg/L";"rat";""
"67564-91-4";"fenpropimorphe";"Toxicité aiguë VO";"DL50";"1670";"mg/kg";"rat";""
"473798-59-3";"fenpyrazamine";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"473798-59-3";"fenpyrazamine";"Toxicité aiguë inhalation";"CL50";">4,84";"mg/L";"rat";""
"473798-59-3";"fenpyrazamine";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
"134098-61-6";"fenpyroximate";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"134098-61-6";"fenpyroximate";"Toxicité aiguë inhalation";"CL50";"0,33";"mg/L";"rat";"F"
"134098-61-6";"fenpyroximate";"Toxicité aiguë inhalation";"CL50";"0,33";"mg/L";"rat";"M"
"134098-61-6";"fenpyroximate";"Toxicité aiguë inhalation";"CL50";"0,36";"mg/L";"rat";"F"
"134098-61-6";"fenpyroximate";"Toxicité aiguë inhalation";"CL50";"0,21";"mg/L";"rat";"M"
"134098-61-6";"fenpyroximate";"Toxicité aiguë VO";"DL50";"480";"mg/kg";"rat";"M"
"134098-61-6";"fenpyroximate";"Toxicité aiguë VO";"DL50";"520";"mg/kg";"souris";"M"
"134098-61-6";"fenpyroximate";"Toxicité aiguë VO";"DL50";"245";"mg/kg";"rat";"F"
"134098-61-6";"fenpyroximate";"Toxicité aiguë VO";"DL50";"440";"mg/kg";"souris";"F"
"N/A";"fenugrec (extrait de )";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"N/A";"fenugrec (extrait de )";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"souris";""
"104040-78-0";"flazasulfuron";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"104040-78-0";"flazasulfuron";"Toxicité aiguë inhalation";"CL50";"> 5.99";"mg/L";"rat";"MF"
"104040-78-0";"flazasulfuron";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"104040-78-0";"flazasulfuron";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"158062-67-0";"flonicamid";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"158062-67-0";"flonicamid";"Toxicité aiguë inhalation";"CL50";">4.9";"mg/L";"rat";""
"158062-67-0";"flonicamid";"Toxicité aiguë VO";"DL50";"1768";"mg/kg";"rat";"F"
"158062-67-0";"flonicamid";"Toxicité aiguë VO";"DL50";"884";"mg/kg";"rat";"M"
"145701-23-1";"florasulam";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"145701-23-1";"florasulam";"Toxicité aiguë inhalation";"CL50";">5";"mg/L";"rat";"MF"
"145701-23-1";"florasulam";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"145701-23-1";"florasulam";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"79241-46-6";"fluazifop P butyl";"Toxicité aiguë cutanée";"DL50";">2110";"mg/kg";"lapin";"MF"
"79241-46-6";"fluazifop P butyl";"Toxicité aiguë inhalation";"CL50";"5.2";"mg/L";"rat";"MF"
"79241-46-6";"fluazifop P butyl";"Toxicité aiguë VO";"DL50";"2451";"mg/kg";"rat";"F"
"79241-46-6";"fluazifop P butyl";"Toxicité aiguë VO";"DL50";"3680";"mg/kg";"rat";"M"
"79241-46-6";"fluazifop P butyl";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"souris";""
"79622-59-6";"fluazinam";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"79622-59-6";"fluazinam";"Toxicité aiguë inhalation";"CL50";">1,1";"mg/L";"rat";"MF"
"79622-59-6";"fluazinam";"Toxicité aiguë VO";"DL50";"4100";"mg/kg";"rat";"MF"
"131341-86-1";"fludioxonyl";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"131341-86-1";"fludioxonyl";"Toxicité aiguë inhalation";"CL50";">2.6";"mg/L";"rat";"MF"
"131341-86-1";"fludioxonyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"142459-58-3";"flufenacet";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"142459-58-3";"flufenacet";"Toxicité aiguë inhalation";"CL50";">3.74";"mg/L";"rat";"MF"
"142459-58-3";"flufenacet";"Toxicité aiguë VO";"DL50";"1331";"mg/kg";"souris";"M"
"142459-58-3";"flufenacet";"Toxicité aiguë VO";"DL50";"1756";"mg/kg";"souris";"F"
"142459-58-3";"flufenacet";"Toxicité aiguë VO";"DL50";"1617";"mg/kg";"rat";"M"
