"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"41483-43-6";"bupirimate";"Log P";"3,35";"";20;"4";""
"41483-43-6";"bupirimate";"pka";"4,4";"";;"";""
"41483-43-6";"bupirimate";"Pression de vapeur";"4,58";"mPa";49,2;"";""
"41483-43-6";"bupirimate";"Pression de vapeur";"1,64";"mPa";39,4;"";""
"41483-43-6";"bupirimate";"Pression de vapeur";"0,13";"mPa";25;"";""
"41483-43-6";"bupirimate";"Pression de vapeur";"0,057";"mPa";20;"";""
"41483-43-6";"bupirimate";"Pression de vapeur";"0,419";"mPa";33,5;"";""
"41483-43-6";"bupirimate";"Solubilité dans l'eau";"13,06";"mg/L";20;"7";""
"41483-43-6";"bupirimate";"Solubilité dans l'eau";"22,55";"mg/L";20;"9";""
"41483-43-6";"bupirimate";"Solubilité dans l'eau";"102,04";"mg/L";20;"4";""
"133-06-2";"captane";"Constante de Henry";"3 e-4";"Pa.m3/mol";20;"5";""
"133-06-2";"captane";"Constante de Henry";"2 e-4";"Pa.m3/mol";20;"7";""
"133-06-2";"captane";"Log P";"2,5";"";20;"5";""
"133-06-2";"captane";"Log P";"2,57";"";25;"7";""
"133-06-2";"captane";"pka";"";"";;"";""
"133-06-2";"captane";"Pression de vapeur";"4.2";"µPa";20;"";""
"133-06-2";"captane";"Pression de vapeur";"2.01e-4";"Pa";50;"";""
"133-06-2";"captane";"Solubilité dans l'eau";"2.67";"mg/L";15;"";""
"133-06-2";"captane";"Solubilité dans l'eau";"4.8";"mg/L";20;"5";""
"133-06-2";"captane";"Solubilité dans l'eau";"5.2";"mg/L";20;"7";""
"133-06-2";"captane";"Solubilité dans l'eau";"4.9";"mg/L";20;"7";""
"133-06-2";"captane";"Solubilité dans l'eau";"3.77";"mg/L";25;"";""
"16118-49-3";"carbetamide";"Constante de Henry";"1.93 x 10^-8";"Pa.m3/mol";20;"";""
"16118-49-3";"carbetamide";"Log P";"1,76";"";20;"9";""
"16118-49-3";"carbetamide";"Log P";"1,76";"";20;"4";""
"16118-49-3";"carbetamide";"Log P";"1,78";"";20;"7";""
"16118-49-3";"carbetamide";"pka";"11,3";"";20;"";""
"16118-49-3";"carbetamide";"Pression de vapeur";"3 x 10^-7";"Pa";20;"";""
"16118-49-3";"carbetamide";"Solubilité dans l'eau";"3,67";"g/L";23;"9";""
"16118-49-3";"carbetamide";"Solubilité dans l'eau";"3,05";"g/L";23;"5";""
"16118-49-3";"carbetamide";"Solubilité dans l'eau";"3,27";"g/L";23;"7";""
"5234-68-4";"carboxine";"Constante de Henry";"3,2 e-5";"Pa.m3/mol";;"";""
"5234-68-4";"carboxine";"Log P";"2,3";"";;"";""
"5234-68-4";"carboxine";"pka";"<0,5";"";;"";""
"5234-68-4";"carboxine";"Pression de vapeur";"20";"µPa";25;"";""
"5234-68-4";"carboxine";"Solubilité dans l'eau";"0,134";"g/L";20;"7";""
"5234-68-4";"carboxine";"Solubilité dans l'eau";"0,138";"g/L";20;"9";""
"5234-68-4";"carboxine";"Solubilité dans l'eau";"0,148";"g/L";20;"5";""
"128639-02-1";"carfentrazone ethyle";"Constante de Henry";"1.56*10^-4";"Pa.m3/mol";20;"";""
"128639-02-1";"carfentrazone ethyle";"Log P";"+3,7";"";20;"4 à 7";""
"128639-02-1";"carfentrazone ethyle";"pka";"";"";;"";""
"128639-02-1";"carfentrazone ethyle";"Pression de vapeur";"1.1*10^-5";"Pa";20;"";""
"128639-02-1";"carfentrazone ethyle";"Solubilité dans l'eau";"17.1";"mg/L";20;"4";""
"128639-02-1";"carfentrazone ethyle";"Solubilité dans l'eau";"29.3";"mg/L";20;"7";""
"500008-45-7";"chlorantraniliprole";"Constante de Henry";"3,2x10^-9";"Pa.m3/mol";;"";""
"500008-45-7";"chlorantraniliprole";"Log P";"2,86";"";20;"7";""
"500008-45-7";"chlorantraniliprole";"Log P";"2,77";"";20;"4";""
"500008-45-7";"chlorantraniliprole";"Log P";"2,8";"";20;"9";""
"500008-45-7";"chlorantraniliprole";"pka";"10,88";"";20;"";""
"500008-45-7";"chlorantraniliprole";"Pression de vapeur";"2,1x10^-2";"nPa";25;"";""
"500008-45-7";"chlorantraniliprole";"Pression de vapeur";"6.3x10^-3";"nPa";20;"";""
"500008-45-7";"chlorantraniliprole";"Solubilité dans l'eau";"0.971";"mg/L";20;"9";""
"500008-45-7";"chlorantraniliprole";"Solubilité dans l'eau";"0.972";"mg/L";20;"4";""
"500008-45-7";"chlorantraniliprole";"Solubilité dans l'eau";"0.880";"mg/L";20;"7";""
"1698-60-8";"chloridazone";"Constante de Henry";"5,3 10-10";"Pa.m3/mol";20;"";""
"1698-60-8";"chloridazone";"Log P";"+1,2";"";25;"";""
"1698-60-8";"chloridazone";"Pression de vapeur";"1 10-9";"Pa";20;"";""
"1698-60-8";"chloridazone";"Solubilité dans l'eau";"0,410";"g/L";20;"4";""
"1698-60-8";"chloridazone";"Solubilité dans l'eau";"0,422";"";20;"7";""
"999-81-5";"chlormequat chloride";"Constante de Henry";"<3.16 x 10-10";"Pa.m3/mol";;"";""
"999-81-5";"chlormequat chloride";"Log P";"-3,07";"";20;"10";""
"999-81-5";"chlormequat chloride";"Log P";"-3,47";"";20;"7";""
"999-81-5";"chlormequat chloride";"Log P";"-3,08";"";20;"4";""
"999-81-5";"chlormequat chloride";"pka";"";"";;"";""
"999-81-5";"chlormequat chloride";"Pression de vapeur";"<10-6";"Pa";20;"";""
"999-81-5";"chlormequat chloride";"Solubilité dans l'eau";">886";"g/L";22;"";""
"2921-88-2";"chlorpyriphos-ethyl";"Constante de Henry";"0.478";"Pa.m3/mol";;"";""
"2921-88-2";"chlorpyriphos-ethyl";"Log P";"4,7";"";20;"7";""
"2921-88-2";"chlorpyriphos-ethyl";"pka";"";"";;"";""
"2921-88-2";"chlorpyriphos-ethyl";"Pression de vapeur";"1.43";"mPa";20;"";""
"2921-88-2";"chlorpyriphos-ethyl";"Pression de vapeur";"3.35";"mPa";25;"";""
"2921-88-2";"chlorpyriphos-ethyl";"Solubilité dans l'eau";"1.05";"mg/L";20;"";""
"5598-13-0";"chlorpyriphos-methyl";"Constante de Henry";"0.235";"Pa.m3/mol";;"";""
"5598-13-0";"chlorpyriphos-methyl";"Log P";"4,4";"";20;"";""
"5598-13-0";"chlorpyriphos-methyl";"pka";"";"";;"";""
"5598-13-0";"chlorpyriphos-methyl";"Pression de vapeur";"3.0";"mPa";25;"";""
"5598-13-0";"chlorpyriphos-methyl";"Solubilité dans l'eau";"2.5";"mg/L";20;"";""
"64902-72-3";"chlorsulfuron";"Constante de Henry";"3.4 e-11";"Pa.m3/mol";;"";""
"64902-72-3";"chlorsulfuron";"Log P";"";"";;"";""
"64902-72-3";"chlorsulfuron";"pka";"3,6";"";;"";""
"64902-72-3";"chlorsulfuron";"Pression de vapeur";"61.9";"µPa";;"";""
"64902-72-3";"chlorsulfuron";"Solubilité dans l'eau";"125";"mg/L";25;"";""
"15545-48-9";"chlortoluron";"Constante de Henry";"-";"Pa.m3/mol";;"";""
"15545-48-9";"chlortoluron";"Log P";"2,5";"";25;"7";""
"15545-48-9";"chlortoluron";"pka";"";"";;"";""
"15545-48-9";"chlortoluron";"Pression de vapeur";"5 x10-6";"Pa";25;"";""
"15545-48-9";"chlortoluron";"Solubilité dans l'eau";"74";"mg/L";25;"";""
"143807-66-3";"chromafénozide";"Constante de Henry";"1,773*10-6";"Pa.m3/mol";20;"9";""
"143807-66-3";"chromafénozide";"Constante de Henry";"1,973*10-6";"Pa.m3/mol";20;"7";""
"143807-66-3";"chromafénozide";"Constante de Henry";"1,610*10-6";"Pa.m3/mol";20;"4";""
"143807-66-3";"chromafénozide";"Log P";"+2,7";"";22;"5,5";""
"143807-66-3";"chromafénozide";"pka";"+13,24";"";20;"";""
"143807-66-3";"chromafénozide";"Pression de vapeur";"8,7*10-6";"Pa";75;"";""
"143807-66-3";"chromafénozide";"Solubilité dans l'eau";"0,98";"mg/L";20;"4";""
"143807-66-3";"chromafénozide";"Solubilité dans l'eau";"0,89";"mg/L";20;"9";""
"143807-66-3";"chromafénozide";"Solubilité dans l'eau";"0,80";"mg/L";20;"7";""
"99129-21-2";"clethodim";"Constante de Henry";"1,4 x e-7";"Pa.m3/mol";20;"";""
"99129-21-2";"clethodim";"Log P";"";"";;"";""
"99129-21-2";"clethodim";"Log P";"4,22";"";;"9";""
"99129-21-2";"clethodim";"Log P";"4,14";"";;"7";""
"99129-21-2";"clethodim";"pka";"4,47";"";20;"";""
"99129-21-2";"clethodim";"Pression de vapeur";"4,92";"µPa";25;"";""
"99129-21-2";"clethodim";"Pression de vapeur";"2,08";"µPa";20;"";""
"99129-21-2";"clethodim";"Solubilité dans l'eau";"58,9";"g/L";20;"9";""
"99129-21-2";"clethodim";"Solubilité dans l'eau";"30,0";"g/L";20;"10";""
"99129-21-2";"clethodim";"Solubilité dans l'eau";"5,45";"g/L";20;"7";""
"99129-21-2";"clethodim";"Solubilité dans l'eau";"0.0530";"g/L";20;"4";""
"105512-06-9";"clodinafop-propargyl";"Constante de Henry";"2.8 10-4";"Pa.m3/mol";;"";""
"105512-06-9";"clodinafop-propargyl";"Log P";"0,52";"";25;"7";""
"105512-06-9";"clodinafop-propargyl";"pka";"";"";;"";""
"105512-06-9";"clodinafop-propargyl";"Pression de vapeur";"3.19 10-6";"Pa";25;"";""
"105512-06-9";"clodinafop-propargyl";"Solubilité dans l'eau";"4";"mg/L";25;"";""
"74115-24-5";"clofentezine";"Log P";"3,1";"";20;"";""
"74115-24-5";"clofentezine";"Pression de vapeur";"0.13";"µPa";25;"";""
"74115-24-5";"clofentezine";"Solubilité dans l'eau";"<1";"mg/L";20;"";""
"81777-89-1";"clomazone";"Constante de Henry";"4.18 e-3";"Pa.m3/mol";;"";""
"81777-89-1";"clomazone";"Log P";"2,54";"";23;"7";""
"81777-89-1";"clomazone";"pka";"";"";;"";""
"81777-89-1";"clomazone";"Pression de vapeur";"19.2";"mPa";25;"";""
"81777-89-1";"clomazone";"Solubilité dans l'eau";"1.1";"g/L";23;"";""
"1702-17-6";"clopyralid";"Constante de Henry";"3.3x10^-10";"Pa.m3/mol";20;"";""
"1702-17-6";"clopyralid";"Constante de Henry";"2.2x10^-11";"Pa.m3/mol";20;"5";""
"1702-17-6";"clopyralid";"Constante de Henry";"1.6x10^-11";"Pa.m3/mol";20;"9";""
"1702-17-6";"clopyralid";"Constante de Henry";"1.8x10^-11";"Pa.m3/mol";20;"7";""
"1702-17-6";"clopyralid";"Log P";"-2,55";"";20;"9";""
"1702-17-6";"clopyralid";"Log P";"-2,63";"";20;"7";""
"1702-17-6";"clopyralid";"Log P";"-1,81";"";20;"5";""
"1702-17-6";"clopyralid";"Log P";"-2,53";"";20;"";""
"1702-17-6";"clopyralid";"pka";"2,01";"";25;"";""
"1702-17-6";"clopyralid";"Pression de vapeur";"1.36";"mPa";25;"";""
"1702-17-6";"clopyralid";"Solubilité dans l'eau";"118";"g/L";20;"5";""
"1702-17-6";"clopyralid";"Solubilité dans l'eau";"7.85";"g/L";20;"";""
"1702-17-6";"clopyralid";"Solubilité dans l'eau";"157";"g/L";20;"9";""
"1702-17-6";"clopyralid";"Solubilité dans l'eau";"143";"g/L";20;"7";""
"99607-70-2";"cloquintocet-mexyl";"Constante de Henry";"3.02x10^-3";"Pa.m3/mol";25;"";""
"99607-70-2";"cloquintocet-mexyl";"Log P";"5,2";"";;"";""
"99607-70-2";"cloquintocet-mexyl";"pka";"9,5";"";;"";""
"99607-70-2";"cloquintocet-mexyl";"Pression de vapeur";"93";"µPa";40;"";""
"99607-70-2";"cloquintocet-mexyl";"Pression de vapeur";"16";"µPa";30;"";""
"99607-70-2";"cloquintocet-mexyl";"Pression de vapeur";"2.5";"µPa";20;"";""
"99607-70-2";"cloquintocet-mexyl";"Solubilité dans l'eau";"0.59";"mg/L";25;"";""
"210880-92-5";"clothianidine";"Constante de Henry";"2.9 e-11";"Pa.m3/mol";20;"";""
"210880-92-5";"clothianidine";"Log P";"0,905";"";25;"7";""
"210880-92-5";"clothianidine";"Log P";"0,893";"";25;"4";""
"210880-92-5";"clothianidine";"Log P";"0,873";"";25;"10";""
"210880-92-5";"clothianidine";"pka";"11,09";"";;"";""
"210880-92-5";"clothianidine";"Pression de vapeur";"3.8 e-11";"Pa";20;"";""
"210880-92-5";"clothianidine";"Solubilité dans l'eau";"0.304";"g/L";20;"4";""
"210880-92-5";"clothianidine";"Solubilité dans l'eau";"0.340";"g/L";20;"10";""
"8011-63-0";"cuivre de la bouillie bordelaise";"Log P";"";"";;"";""
"8011-63-0";"cuivre de la bouillie bordelaise";"Solubilité dans l'eau";"1.1";"mg/L";20;"9,8";""
"8011-63-0";"cuivre de la bouillie bordelaise";"Solubilité dans l'eau";"129";"g/L";20;"2,9";""
"8011-63-0";"cuivre de la bouillie bordelaise";"Solubilité dans l'eau";"2.2";"mg/L";20;"6,8";""
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Log P";"2,78";"";;"";""
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Solubilité dans l'eau";"0.25";"mg/L";20;"10";""
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Solubilité dans l'eau";"0.506";"mg/L";20;"6,4 à 6,6";""
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"Solubilité dans l'eau";"39.8";"g/L";20;"4 à 6";""
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Solubilité dans l'eau";"1.19";"mg/L";20;"6,5 à 6,6";""
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Solubilité dans l'eau";"101";"g/L";20;"3,1";""
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"Solubilité dans l'eau";"0.525";"mg/L";20;"10,1";""
"1317-39-1";"cuivre de l'oxyde cuivreux";"Solubilité dans l'eau";"0,539";"mg/L";20;"9,8";""
"1317-39-1";"cuivre de l'oxyde cuivreux";"Solubilité dans l'eau";"0,639";"mg/L";20;"6,8";""
"1317-39-1";"cuivre de l'oxyde cuivreux";"Solubilité dans l'eau";"28,6";"g/L";20;"2,9";""
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"Solubilité dans l'eau";"<3.42";"mg/L";20;"";""
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"Solubilité dans l'eau";"<0.255";"mg/L";20;"10,1";""
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"Solubilité dans l'eau";"0.5";"g/L";20;"4 à 6";""
"736994-63-1";"cyantraniliprole";"Constante de Henry";"1.7 x 10^-13";"Pa.m3/mol";;"";""
"736994-63-1";"cyantraniliprole";"Log P";"2,02";"";22;"7";""
"736994-63-1";"cyantraniliprole";"Log P";"1,97";"";22;"4";""
"736994-63-1";"cyantraniliprole";"Log P";"1,74";"";22;"9";""
"736994-63-1";"cyantraniliprole";"pka";"8,8";"";20;"";""
"736994-63-1";"cyantraniliprole";"Pression de vapeur";"1.787 x 10^-14";"Pa";25;"";""
"736994-63-1";"cyantraniliprole";"Pression de vapeur";"5.133x10^-15";"Pa";20;"";""
"736994-63-1";"cyantraniliprole";"Solubilité dans l'eau";"12,33";"mg/L";20;"7";""
"736994-63-1";"cyantraniliprole";"Solubilité dans l'eau";"17,43";"mg/L";20;"4";""
"736994-63-1";"cyantraniliprole";"Solubilité dans l'eau";"5,94";"mg/L";20;"9";""
"120116-88-3";"cyazofamid";"Constante de Henry";"<4,03*10^-2";"Pa.m3/mol";;"";""
"120116-88-3";"cyazofamid";"Log P";"3,2";"";25;"";""
"120116-88-3";"cyazofamid";"pka";"";"";;"";""
"120116-88-3";"cyazofamid";"Pression de vapeur";"<1,33*10^-5";"Pa";35;"";""
"120116-88-3";"cyazofamid";"Solubilité dans l'eau";"0,109";"mg/L";20;"9";""
"120116-88-3";"cyazofamid";"Solubilité dans l'eau";"0.107";"mg/L";20;"7";""
"120116-88-3";"cyazofamid";"Solubilité dans l'eau";"0.121";"mg/L";20;"5";""
"101205-02-1";"cycloxidime";"Constante de Henry";"6,141x10-5";"Pa.m3/mol";20;"";""
"101205-02-1";"cycloxidime";"Log P";"1,36";"";25;"7";""
"101205-02-1";"cycloxidime";"Log P";"-0,42";"";25;"9";""
"101205-02-1";"cycloxidime";"Log P";"3,09";"";25;"5";""
"101205-02-1";"cycloxidime";"Log P";"";"";;"";""
"101205-02-1";"cycloxidime";"pka";"4,17";"";20;"";""
"101205-02-1";"cycloxidime";"Pression de vapeur";"<10";"µPa";20;"";""
"101205-02-1";"cycloxidime";"Solubilité dans l'eau";"53";"mg/L";20;"";""
"400882-07-7";"cyflumetofene";"Constante de Henry";"< 9,4x10^-2";"Pa.m3/mol";;"";""
"400882-07-7";"cyflumetofene";"Log P";"4,3";"";25;"";""
"400882-07-7";"cyflumetofene";"pka";"";"";;"";""
"400882-07-7";"cyflumetofene";"Pression de vapeur";"< 5,9x10^-6";"Pa";25;"";""
"400882-07-7";"cyflumetofene";"Solubilité dans l'eau";"28";"µg/L";20;"7";""
"122008-85-9";"cyhalofop butyl";"Constante de Henry";"9.51 e-4";"Pa.m3/mol";;"";""
"122008-85-9";"cyhalofop butyl";"Log P";"3,32";"";25;"7";""
"122008-85-9";"cyhalofop butyl";"pka";"3,8";"";;"";""
"122008-85-9";"cyhalofop butyl";"Pression de vapeur";"5.3 e-5";"Pa";25;"";""
"122008-85-9";"cyhalofop butyl";"Solubilité dans l'eau";"0.46";"mg/L";20;"5";""
"122008-85-9";"cyhalofop butyl";"Solubilité dans l'eau";"0.44";"mg/L";20;"";""
"122008-85-9";"cyhalofop butyl";"Solubilité dans l'eau";"0.44";"mg/L";20;"7";""
"57966-95-7";"cymoxanil";"Constante de Henry";"3.8 10-5";"Pa.m3/mol";;"7";""
"57966-95-7";"cymoxanil";"Constante de Henry";"3.3 10-5";"Pa.m3/mol";;"5";""
"57966-95-7";"cymoxanil";"Log P";"0,64";"";20;"";""
"57966-95-7";"cymoxanil";"Log P";"0,59";"";20;"5";""
"57966-95-7";"cymoxanil";"Log P";"0,67";"";20;"7";""
"57966-95-7";"cymoxanil";"pka";"9,3";"";20;"";""
"57966-95-7";"cymoxanil";"Pression de vapeur";"0.15";"mPa";20;"";""
"57966-95-7";"cymoxanil";"Solubilité dans l'eau";"780";"mg/L";20;"7";""
"57966-95-7";"cymoxanil";"Solubilité dans l'eau";"782";"mg/L";20;"5,7";""
"57966-95-7";"cymoxanil";"Solubilité dans l'eau";"890";"mg/L";20;"5";""
"52315-07-8";"cypermethrine";"Constante de Henry";"0.024";"Pa.m3/mol";20;"";""
"52315-07-8";"cypermethrine";"Log P";"5,5";"";25;"";""
"52315-07-8";"cypermethrine";"pka";"";"";;"";""
"52315-07-8";"cypermethrine";"Pression de vapeur";"2,3 e-7";"Pa";20;"";""
"52315-07-8";"cypermethrine";"Solubilité dans l'eau";"<9";"ug/L";20;"";""
"94361-06-5";"cyproconazole";"Constante de Henry";"5 x10^-5";"Pa.m3/mol";;"";""
"94361-06-5";"cyproconazole";"Log P";"3,09";"";25;"7,2";""
"94361-06-5";"cyproconazole";"pka";"";"";;"";""
"94361-06-5";"cyproconazole";"Pression de vapeur";"26";"µPa";25;"";""
"94361-06-5";"cyproconazole";"Solubilité dans l'eau";"93";"mg/L";22;"7,1";""
"121552-61-2";"cyprodinil";"Constante de Henry";"6.6 -7.2x10^-3";"Pa.m3/mol";25;"";""
"121552-61-2";"cyprodinil";"Log P";"4";"";25;"7";""
"121552-61-2";"cyprodinil";"Log P";"4";"";25;"5 à 9";""
"121552-61-2";"cyprodinil";"pka";"4,44";"";;"";""
"121552-61-2";"cyprodinil";"Pression de vapeur";"0.47 - 0.51";"mPa";25;"";""
"121552-61-2";"cyprodinil";"Solubilité dans l'eau";"16";"mg/L";25;"7,6";""
"121552-61-2";"cyprodinil";"Solubilité dans l'eau";"20";"mg/L";25;"5";""
"121552-61-2";"cyprodinil";"Solubilité dans l'eau";"15";"mg/L";25;"9";""
"121552-61-2";"cyprodinil";"Solubilité dans l'eau";"13";"mg/L";25;"7";""
"221667-31-8";"cyprosulfamide";"Constante de Henry";"<<1,43 x e-7";"Pa.m3/mol";;"9";""
"221667-31-8";"cyprosulfamide";"Constante de Henry";"<<1,1 x e-3";"Pa.m3/mol";;"4";""
"221667-31-8";"cyprosulfamide";"Constante de Henry";"<<3,44 x e-6";"Pa.m3/mol";;"7";""
"221667-31-8";"cyprosulfamide";"Log P";"-0,8";"";23;"7";""
"221667-31-8";"cyprosulfamide";"Log P";"1,17";"";23;"4";""
"221667-31-8";"cyprosulfamide";"Log P";"1,81";"";23;"9";""
"221667-31-8";"cyprosulfamide";"pka";"4,2";"";;"";""
"221667-31-8";"cyprosulfamide";"Pression de vapeur";"5,72 x e-9";"Pa";20;"";""
"221667-31-8";"cyprosulfamide";"Solubilité dans l'eau";"1,09";"g/L";20;"6,9";""
"221667-31-8";"cyprosulfamide";"Solubilité dans l'eau";"26,1";"g/L";20;"8,1";""
"221667-31-8";"cyprosulfamide";"Solubilité dans l'eau";"3,4";"mg/L";20;"4";""
"66215-27-8";"cyromazine";"Log P";"-0,039";"";25;"9";""
"66215-27-8";"cyromazine";"Log P";"-0,069";"";25;"7";""
"66215-27-8";"cyromazine";"Log P";"-0,36";"";25;"5";""
"66215-27-8";"cyromazine";"Pression de vapeur";"4,48x10^-7";"Pa";25;"";""
"66215-27-8";"cyromazine";"Solubilité dans l'eau";"13";"g/L";25;"7,1";""
"66215-27-8";"cyromazine";"Solubilité dans l'eau";"13";"g/L";25;"9";""
"66215-27-8";"cyromazine";"Solubilité dans l'eau";"8,0";"g/L";25;"5,3";""
"1596-84-5";"daminozide";"Constante de Henry";"1.43 e-2";"Pa.m3/mol";25;"";""
"1596-84-5";"daminozide";"Log P";"-1,48";"";;"9";""
"1596-84-5";"daminozide";"Log P";"-1,51";"";;"7";""
"1596-84-5";"daminozide";"Log P";"-1,49";"";;"5";""
"1596-84-5";"daminozide";"pka";"";"";;"";""
"1596-84-5";"daminozide";"Pression de vapeur";"<1.27 e-5";"Pa";21,6;"";""
"1596-84-5";"daminozide";"Pression de vapeur";"1.5 e-6";"Pa";25;"";""
"1596-84-5";"daminozide";"Solubilité dans l'eau";"180";"g/L";25;"";""
"533-74-4";"dazomet";"Constante de Henry";"5,10 x e-5";"Pa.m3/mol";20;"";""
"533-74-4";"dazomet";"Log P";"0,63";"";20;"5,8";""
"533-74-4";"dazomet";"pka";"";"";;"";""
"533-74-4";"dazomet";"Pression de vapeur";"1,1";"mPa";20;"";""
"533-74-4";"dazomet";"Pression de vapeur";"2,1";"mPa";25;"";""
"533-74-4";"dazomet";"Solubilité dans l'eau";"3.5";"g/L";20;"6 à 7";""
"52918-63-5";"deltamethrine";"Constante de Henry";"0.031";"Pa.m3/mol";25;"";""
"52918-63-5";"deltamethrine";"Log P";"4,6";"";25;"7,6";""
"52918-63-5";"deltamethrine";"pka";"";"";;"";""
"52918-63-5";"deltamethrine";"Pression de vapeur";"12.4";"nPa";25;"";""
"52918-63-5";"deltamethrine";"Solubilité dans l'eau";"<0.005";"mg/L";20;"6,2";""
"52918-63-5";"deltamethrine";"Solubilité dans l'eau";"0.0002";"mg/L";25;"7,5 à 7,9";""
"1918-00-9";"dicamba";"Constante de Henry";"1 e-4";"Pa.m3/mol";25;"";""
"1918-00-9";"dicamba";"Log P";"-0,55";"";25;"5";""
"1918-00-9";"dicamba";"Log P";"-1,8";"";25;"7";""
"1918-00-9";"dicamba";"Log P";"-1,9";"";25;"9";""
"1918-00-9";"dicamba";"pka";"1,87";"";25;"";""
"1918-00-9";"dicamba";"Pression de vapeur";"1,67";"mPa";25;"";""
"1918-00-9";"dicamba";"Solubilité dans l'eau";"6,6";"g/L";25;"2";""
"1918-00-9";"dicamba";"Solubilité dans l'eau";"> 250";"g/L";25;"4,1";""
"1918-00-9";"dicamba";"Solubilité dans l'eau";"> 250";"g/L";25;"8";""
"1918-00-9";"dicamba";"Solubilité dans l'eau";"> 250";"g/L";25;"7";""
"15165-67-0";"dichlorprop-P";"Constante de Henry";"5,6 x10^-5";"Pa.m3/mol";;"";""
"15165-67-0";"dichlorprop-P";"Log P";"+1,029";"";20;"5";""
"15165-67-0";"dichlorprop-P";"Log P";"-0,873";"";20;"9";""
"15165-67-0";"dichlorprop-P";"Log P";"-0,562";"";20;"7";""
"15165-67-0";"dichlorprop-P";"pka";"+3,67";"";20;"";""
"15165-67-0";"dichlorprop-P";"Pression de vapeur";"0,18";"mPa";25;"";""
"15165-67-0";"dichlorprop-P";"Solubilité dans l'eau";"6,31";"g/L";20;"4";""
"15165-67-0";"dichlorprop-P";"Solubilité dans l'eau";">250";"g/L";20;"7";""
"15165-67-0";"dichlorprop-P";"Solubilité dans l'eau";">250";"g/L";20;"9";""
"15165-67-0";"dichlorprop-P";"Solubilité dans l'eau";"500";"mg/L";20;"3";""
"15165-67-0";"dichlorprop-P";"Solubilité dans l'eau";"590";"mg/L";20;"";""
"257-141-8";"diclofop methyl";"Constante de Henry";"0.0105";"Pa.m3/mol";20;"";""
"257-141-8";"diclofop methyl";"Log P";"4,8";"";20;"7";""
"257-141-8";"diclofop methyl";"pka";"";"";;"";""
"257-141-8";"diclofop methyl";"Pression de vapeur";"25";"µPa";25;"";""
"257-141-8";"diclofop methyl";"Solubilité dans l'eau";"0.39";"mg/L";20;"7";""
"119446-68-3";"difenoconazole";"Constante de Henry";"9 e-7";"Pa.m3/mol";25;"";""
"119446-68-3";"difenoconazole";"Log P";"4,36";"";25;"8";""
"119446-68-3";"difenoconazole";"pka";"1,07";"";;"";""
"119446-68-3";"difenoconazole";"Pression de vapeur";"0,0332";"µPa";25;"";""
"119446-68-3";"difenoconazole";"Solubilité dans l'eau";"15";"mg/L";25;"7";""
"35367-38-5";"diflubenzuron";"Constante de Henry";"5,8x10^-4";"Pa.m3/mol";25;"";""
"35367-38-5";"diflubenzuron";"Log P";"3,4";"";37;"10";""
"35367-38-5";"diflubenzuron";"Log P";"3,8";"";37;"4";""
"35367-38-5";"diflubenzuron";"Log P";"4";"";37;"7,97";""
"35367-38-5";"diflubenzuron";"Pression de vapeur";"1,5x10^-7";"Pa";25;"";""
"35367-38-5";"diflubenzuron";"Solubilité dans l'eau";"32x10^-5";"g/L";25;"10";""
"35367-38-5";"diflubenzuron";"Solubilité dans l'eau";"6,63x10^-5";"g/L";20;"5";""
"35367-38-5";"diflubenzuron";"Solubilité dans l'eau";"8x10^-5";"g/L";25;"7";""
"35367-38-5";"diflubenzuron";"Solubilité dans l'eau";"10x10^-5";"g/L";25;"4";""
"83164-33-4";"diflufenican";"Constante de Henry";">1.18 x-2";"Pa.m3/mol";;"";""
"83164-33-4";"diflufenican";"Log P";"4,2";"";20;"";""
"83164-33-4";"diflufenican";"Pression de vapeur";"4.25";"µPa";25;"";""
"83164-33-4";"diflufenican";"Solubilité dans l'eau";"<0.05";"mg/L";20;"6,9";""
"50563-36-5";"dimethachlore";"Constante de Henry";"1,7 10-4";"Pa.m3/mol";25;"";""
"50563-36-5";"dimethachlore";"Log P";"2,17";"";25;"";""
"50563-36-5";"dimethachlore";"pka";"";"";;"";""
"50563-36-5";"dimethachlore";"Pression de vapeur";"0,64";"mPa";20;"";""
"50563-36-5";"dimethachlore";"Pression de vapeur";"1,5";"mPa";25;"";""
"50563-36-5";"dimethachlore";"Solubilité dans l'eau";"2.3";"g/L";25;"";""
"163515-14-8";"Dimethenamid-P";"Constante de Henry";"4.8 x10^-4";"Pa.m3/mol";25;"";""
"163515-14-8";"Dimethenamid-P";"Log P";"1,89";"";25;"";""
