"Numéro CAS";"Nom SA";"Source";"Date";"Nom";"valeur";"Unite";"Etude(s) pivot(s) 1";"NOAEL de l'étude pivot 1";"Unité NOAEL étude pivot 1";"Etude(s) pivot(s) 2";"Facteur de sécurité";"F.correction (abs. orale lim.)"
"999-81-5";"chlormequat chloride";"UE";23/04/09;"AOEL";"0,04";"mg/kg/j";"1 an, voie orale, chien";"4";"mg/kg p.c./j";"";100;"non nécessaire"
"999-81-5";"chlormequat chloride";"UE";23/04/09;"DJA";"0,04";"mg/kg/j";"1 an, voie orale, chien";"4";"mg/kg/p.c./j";"";100;"non nécessaire"
"999-81-5";"chlormequat chloride";"UE";23/04/09;"ARFD";"0,09";"mg/kg pc";"28 jours, voie orale, chien";"9";"mg/kg/p.c./j";"";100;"non nécessaire"
"2921-88-2";"chlorpyriphos-ethyl";"UE";10/01/20;"AOEL";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-éthyle ne peut pas être exclu";;"non nécessaire"
"2921-88-2";"chlorpyriphos-ethyl";"UE";10/01/20;"DJA";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-éthyle ne peut pas être exclu";;"non nécessaire"
"2921-88-2";"chlorpyriphos-ethyl";"UE";10/01/20;"AAOEL";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-éthyle ne peut pas être exclu";;"non nécessaire"
"2921-88-2";"chlorpyriphos-ethyl";"UE";10/01/10;"ARFD";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-éthyle ne peut pas être exclu";;"non nécessaire"
"5598-13-0";"chlorpyriphos-methyl";"UE";10/01/20;"AOEL";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-méthyle ne peut pas être exclu";;"non nécessaire"
"5598-13-0";"chlorpyriphos-methyl";"UE";10/01/20;"ARFD";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-méthyle ne peut pas être exclu";;"non nécessaire"
"5598-13-0";"chlorpyriphos-methyl";"UE";10/01/20;"DJA";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-méthyle ne peut pas être exclu";;"non nécessaire"
"5598-13-0";"chlorpyriphos-methyl";"UE";10/01/20;"AAOEL";"non fixée par manque de données";"";"";"";"";"Le potentiel génotoxique du chlorpyrifos-méthyle ne peut pas être exclu";;"non nécessaire"
"64902-72-3";"chlorsulfuron";"UE";01/01/10;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"64902-72-3";"chlorsulfuron";"UE";01/01/10;"AOEL";"0,43";"mg/kg/j";"1 an, voie orale, chien";"60,6";"mg/kg/p.c./j";"";100;"71%"
"64902-72-3";"chlorsulfuron";"UE";01/01/10;"DJA";"0,2";"mg/kg/j";"2 ans, voie orale, rat";"20";"mg/kg/p.c./j";"";100;"non nécessaire"
"15545-48-9";"chlortoluron";"UE";15/02/05;"AOEL";"0,215";"mg/kg/j";"90 jours, voie orale, chien";"21,45";"mg/kg p.c./j";"";100;"non nécessaire"
"15545-48-9";"chlortoluron";"UE";15/02/05;"DJA";"0,04";"mg/kg/j";"2 ans, voie orale, rat";"3,7";"mg/kg p.c./j";"";100;"non nécessaire"
"15545-48-9";"chlortoluron";"UE";15/02/05;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"143807-66-3";"chromafénozide";"UE";01/04/15;"DJA";"0,27";"mg/kg/j";"1 an, voie orale, chien";"27";"mg/kg/p.c./j";"";100;"non nécessaire"
"143807-66-3";"chromafénozide";"UE";01/04/15;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"143807-66-3";"chromafénozide";"UE";01/04/15;"AOEL";"0,26";"mg/kg/j";"90 jours, voie orale, chien";"52";"mg/kg/p.c./j";"";100;"50%"
"99129-21-2";"clethodim";"UE";01/06/11;"DJA";"0,16";"mg/kg/j";"2 ans, voie orale, rat";"16";"mg/kg/p.c./j";"";100;"non nécessaire"
"99129-21-2";"clethodim";"UE";01/06/11;"AOEL";"0,2";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"21";"mg/kg/p.c./j";"";100;"non nécessaire"
"99129-21-2";"clethodim";"UE";01/06/11;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"105512-06-9";"clodinafop-propargyl";"UE";27/01/06;"ARFD";"0,05";"mg/kg pc";"Tératogenèse, voie orale, rat";"5";"mg/kg p.c./j";"2 générations, voie orale, rat";100;"non nécessaire"
"105512-06-9";"clodinafop-propargyl";"UE";27/01/06;"DJA";"0,003";"mg/kg/j";"2 ans, voie orale, rat";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"105512-06-9";"clodinafop-propargyl";"UE";27/01/06;"AOEL";"0,026";"mg/kg/j";"1 an, voie orale, chien";"3,4";"mg/kg p.c./j";"";100;"75%"
"74115-24-5";"clofentezine";"UE";01/01/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"74115-24-5";"clofentezine";"UE";01/01/09;"DJA";"0,02";"mg/kg/j";"2 ans, voie orale, rat";"2";"mg/kg p.c./j";"";100;"non nécessaire"
"74115-24-5";"clofentezine";"UE";01/01/09;"AOEL";"0,01";"mg/kg/j";"90 jours, voie orale, rat";"2,65";"mg/kg/p.c./j";"";100;"50%"
"81777-89-1";"clomazone";"UE";20/12/07;"DJA";"0,133";"mg/kg/j";"1 an, voie orale, chien";"13,3";"mg/kg p.c./j";"";100;"non nécessaire"
"81777-89-1";"clomazone";"UE";20/12/07;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"81777-89-1";"clomazone";"UE";20/12/07;"AOEL";"0,133";"mg/kg/j";"1 an, voie orale, chien";"13,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1702-17-6";"clopyralid";"UE";20/05/21;"AOEL";"0,15";"mg/kg/j";"Etude multigénérations,voie orale, rat";"15";"mg/kg p.c./j";"";100;"non nécessaire"
"1702-17-6";"clopyralid";"UE";20/05/21;"DJA";"0,15";"mg/kg/j";"2 ans, voie orale, rat";"15";"mg/kg p.c./j";"";100;"non nécessaire"
"1702-17-6";"clopyralid";"UE";20/05/21;"AAOEL";"0,17";"mg/kg/j";"Tératogenèse, voie orale, lapin";"<50";"mg/kg/p.c./j";"";300;"non nécessaire"
"1702-17-6";"clopyralid";"UE";20/05/21;"ARFD";"0,17";"mg/kg pc";"Tératogenèse, voie orale, lapin";"<50";"mg/kg/p.c./j";"";300;"non nécessaire"
"99607-70-2";"cloquintocet-mexyl";"CES_PHYTO";;"ARFD";"1";"mg/kg pc";"Tératogenèse, voie orale, rat";"";"";"";100;"non nécessaire"
"99607-70-2";"cloquintocet-mexyl";"CES_PHYTO";;"AOEL";"0,05";"mg/kg/j";"90 jours, voie orale, rat";"";"";"";100;"non nécessaire"
"99607-70-2";"cloquintocet-mexyl";"CES_PHYTO";;"DJA";"0,04";"mg/kg/j";"2 ans, voie orale, rat";"4";"mg/kg p.c./j";"";100;"non nécessaire"
"210880-92-5";"clothianidine";"UE";27/01/06;"AOEL";"0,1";"mg/kg/j";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"Tératogenèse, voie orale, lapin";100;"non nécessaire"
"210880-92-5";"clothianidine";"UE";27/01/06;"ARFD";"0,1";"mg/kg pc";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"Tératogenèse, voie orale, lapin";100;"non nécessaire"
"210880-92-5";"clothianidine";"UE";27/01/06;"DJA";"0,097";"mg/kg/j";"2 ans, voie orale, rat";"9,7";"mg/kg p.c./j";"";100;"non nécessaire"
"8011-63-0";"cuivre de la bouillie bordelaise";"UE";01/01/19;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"8011-63-0";"cuivre de la bouillie bordelaise";"UE";01/01/19;"AOEL";"0,08";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"50%"
"8011-63-0";"cuivre de la bouillie bordelaise";"UE";01/01/19;"DJA";"0,15";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"non nécessaire"
"8011-63-0";"cuivre de la bouillie bordelaise";"UE";01/01/19;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"UE";01/01/19;"DJA";"0,15";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"non nécessaire"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"UE";01/01/19;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"UE";01/01/19;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"20427-59-2";"cuivre de l'hydroxyde de cuivre";"UE";01/01/19;"AOEL";"0,08";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"50%"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"UE";01/01/19;"DJA";"0,15";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"non nécessaire"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"UE";01/01/19;"AOEL";"0,08";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"50%"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"UE";01/01/19;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1332-40-7 ou 1332-65-6";"cuivre de l'oxychlorure de cuivre";"UE";01/01/19;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1317-39-1";"cuivre de l'oxyde cuivreux";"UE";01/01/19;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1317-39-1";"cuivre de l'oxyde cuivreux";"UE";01/01/19;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1317-39-1";"cuivre de l'oxyde cuivreux";"UE";01/01/19;"AOEL";"0,08";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"50%"
"1317-39-1";"cuivre de l'oxyde cuivreux";"UE";01/01/19;"DJA";"0,15";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"non nécessaire"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"UE";01/01/19;"AOEL";"0,08";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"50%"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"UE";01/01/19;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"UE";01/01/19;"DJA";"0,15";"mg/kg/j";"Autre(s) étude(s)";"";"";"données humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants)";1;"non nécessaire"
"12527-76-3 ou 1333-22-8";"cuivre du sulfate tribasique de cuivre";"UE";01/01/19;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"736994-63-1";"cyantraniliprole";"UE";14/09/16;"AOEL";"0,007";"mg/kg/j";"1 an, voie orale, chien";"1";"mg/kg/p.c./j";"";100;"70%"
"736994-63-1";"cyantraniliprole";"UE";14/09/16;"DJA";"0,01";"mg/kg/j";"1 an, voie orale, chien";"1";"mg/kg/p.c./j";"";100;"non nécessaire"
"736994-63-1";"cyantraniliprole";"UE";14/09/16;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"120116-88-3";"cyazofamid";"UE";01/08/21;"AOEL";"0,045";"mg/kg/j";"90 jours, voie orale, rat";"29,5";"mg/kg p.c./j";"AO = 15%";667;"15%"
"120116-88-3";"cyazofamid";"UE";01/08/21;"DJA";"0,17";"mg/kg/j";"2 ans, voie orale, rat";"17";"mg/kg p.c./j";"";100;"non nécessaire"
"120116-88-3";"cyazofamid";"UE";01/08/21;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"120116-88-3";"cyazofamid";"UE";01/08/21;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"101205-02-1";"cycloxidime";"UE";01/06/11;"ARFD";"2";"mg/kg pc";"Tératogenèse, voie orale, lapin";"200";"mg/kg p.c./j";"Tératogénèse,  voie orale, rat";100;"non nécessaire"
"101205-02-1";"cycloxidime";"UE";01/06/11;"DJA";"0,07";"mg/kg/j";"2 ans, voie orale, rat";"7";"mg/kg p.c./j";"18 mois, voie orale, rat";100;"non nécessaire"
"101205-02-1";"cycloxidime";"UE";01/06/11;"AOEL";"0,1";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"10";"mg/kg p.c./j";"Multigénérations, voie orale, rat";100;"non nécessaire"
"400882-07-7";"cyflumetofene";"UE";01/06/13;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"400882-07-7";"cyflumetofene";"UE";01/06/13;"DJA";"0,17";"mg/kg/j";"90 jours, voie orale, rat";"16,5";"mg/kg/p.c./j";"2 ans, voie orale, rat";100;"non nécessaire"
"400882-07-7";"cyflumetofene";"UE";01/06/13;"AOEL";"0,11";"mg/kg/j";"90 jours, voie orale, rat";"16,5";"mg/kg/p.c./j";"2 ans, voie orale, rat";100;"68%"
"122008-85-9";"cyhalofop butyl";"UE";01/07/17;"DJA";"0,003";"mg/kg/j";"18 mois, voie orale, souris";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"122008-85-9";"cyhalofop butyl";"UE";01/07/17;"ARFD";"0,4";"mg/kg pc";"Tératogenèse, voie orale, lapin";"40";"mg/kg/p.c./j";"";100;"non nécessaire"
"122008-85-9";"cyhalofop butyl";"UE";01/07/17;"AOEL";"0,013";"mg/kg/j";"90 jours, voie orale, rat et chien";"3";"mg/kg p.c./j";"90 jours, voie orale, souris";100;"43%"
"57966-95-7";"cymoxanil";"UE";01/09/09;"AOEL";"0,01";"mg/kg/j";"1 an, voie orale, chien";"1,3";"mg/kg p.c./j";"";100;"75%"
"57966-95-7";"cymoxanil";"UE";01/09/09;"ARFD";"0,08";"mg/kg pc";"Tératogenèse, voie orale, lapin";"8";"mg/kg p.c./j";"";100;"non nécessaire"
"57966-95-7";"cymoxanil";"UE";01/09/09;"DJA";"0,013";"mg/kg/j";"1 an, voie orale, chien";"1,3";"mg/kg p.c./j";"";100;"non nécessaire"
"52315-07-8";"cypermethrine";"UE";15/02/05;"AOEL";"0,06";"mg/kg/j";"90 jours, voie orale, chien";"12,5";"mg/kg p.c./j";"";100;"50%"
"52315-07-8";"cypermethrine";"UE";15/02/05;"DJA";"0,05";"mg/kg/j";"2 ans, voie orale, rat";"5";"mg/kg p.c./j";"";100;"non nécessaire"
"52315-07-8";"cypermethrine";"UE";15/02/05;"ARFD";"0,2";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"20";"mg/kg p.c./j";"";100;"non nécessaire"
"94361-06-5";"cyproconazole";"UE";01/06/11;"ARFD";"0,02";"mg/kg pc";"Reproduction sur deux générations, rat";"1,7";"mg/kg p.c./j";"Tératogénèse, voie orale, lapin";100;"non nécessaire"
"94361-06-5";"cyproconazole";"UE";01/06/11;"AOEL";"0,02";"mg/kg/j";"Reproduction sur deux générations, rat";"1,7";"mg/kg p.c./j";"Tératogénèse, voie orale, lapin";100;"non nécessaire"
"94361-06-5";"cyproconazole";"UE";01/06/11;"DJA";"0,02";"mg/kg/j";"Reproduction sur deux générations et 2 ans, voie orale, rat";"2,22";"mg/kg p.c./j";"18 mois, voie orale, souris";100;"non nécessaire"
"121552-61-2";"cyprodinil";"UE";04/04/06;"AOEL";"0,03";"mg/kg/j";"90 jours, voie orale, rat";"3";"mg/kg p.c./j";"";100;"non nécessaire"
"121552-61-2";"cyprodinil";"UE";04/04/06;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"121552-61-2";"cyprodinil";"UE";04/04/06;"DJA";"0,03";"mg/kg/j";"2 ans, voie orale, rat";"3";"mg/kg p.c./j";"";100;"non nécessaire"
"221667-31-8";"cyprosulfamide";"CES_PHYTO";24/05/11;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"221667-31-8";"cyprosulfamide";"CES_PHYTO";24/05/11;"DJA";"0,39";"mg/kg/j";"2 ans, voie orale, rat";"39";"mg/kg p.c./j";"";100;"non nécessaire"
"221667-31-8";"cyprosulfamide";"CES_PHYTO";24/05/11;"AOEL";"0,39";"mg/kg/j";"2 ans, voie orale, rat";"39";"mg/kg p.c./j";"";100;"non nécessaire"
"66215-27-8";"cyromazine";"UE";01/07/09;"DJA";"0,06";"mg/kg/j";"1 an, voie orale, chien";"5,74";"mg/kg/p.c./j";"2 ans, voie orale, souris";100;"non nécessaire"
"66215-27-8";"cyromazine";"UE";01/07/09;"AOEL";"0,06";"mg/kg/j";"1 an, voie orale, chien";"5,74";"mg/kg/p.c./j";"";100;"non nécessaire"
"66215-27-8";"cyromazine";"UE";01/09/09;"ARFD";"0,1";"mg/kg pc";"Tératogenèse, voie orale, lapin";"10";"mg/kg/p.c./j";"";100;"non nécessaire"
"1596-84-5";"daminozide";"UE";15/02/05;"DJA";"0,45";"mg/kg/j";"18 mois, voie orale, souris";"45";"mg/kg p.c./j";"";100;"non nécessaire"
"1596-84-5";"daminozide";"UE";15/02/05;"AOEL";"0,16";"mg/kg/j";"18 mois, voie orale, souris";"45";"mg/kg p.c./j";"";100;"35%"
"1596-84-5";"daminozide";"UE";15/02/05;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"533-74-4";"dazomet";"UE";01/06/11;"ARFD";"0,03";"mg/kg pc";"Tératogenèse, voie orale, rat";"3";"mg/kg p.c./j";"";100;"non nécessaire"
"533-74-4";"dazomet";"UE";01/06/11;"DJA";"0,01";"mg/kg/j";"2 ans, voie orale, rat";"0,9";"mg/kg p.c./j";"";100;"non nécessaire"
"533-74-4";"dazomet";"UE";01/06/11;"AOEL";"0,015";"mg/kg/j";"90 jours, voie orale, rat";"1,5";"mg/kg p.c./j";"";100;"non nécessaire"
"52918-63-5";"deltamethrine";"UE";18/10/02;"AOEL";"0,0075";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"1";"mg/kg p.c./j";"";100;"75%"
"52918-63-5";"deltamethrine";"UE";18/10/02;"DJA";"0,01";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"52918-63-5";"deltamethrine";"UE";18/10/02;"ARFD";"0,01";"mg/kg pc";"90 jours et 1 an, voie orale, chien";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"1918-00-9";"dicamba";"UE";01/01/13;"ARFD";"0,3";"mg/kg pc";"Tératogenèse, voie orale, lapin";"30";"mg/kg p.c./j";"";100;"non nécessaire"
"1918-00-9";"dicamba";"UE";01/01/13;"AOEL";"0,3";"mg/kg/j";"Tératogenèse, voie orale, lapin";"30";"mg/kg p.c./j";"";100;"non nécessaire"
"1918-00-9";"dicamba";"UE";01/01/13;"DJA";"0,3";"mg/kg/j";"Reproduction sur deux générations, rat";"35";"mg/kg p.c./j";"";100;"non nécessaire"
"15165-67-0";"dichlorprop-P";"UE";23/05/06;"DJA";"0,06";"mg/kg/j";"18 mois, voie orale, souris";"6";"mg/kg p.c./j";"";100;"non nécessaire"
"15165-67-0";"dichlorprop-P";"UE";23/05/06;"ARFD";"0,5";"mg/kg pc";"Tératogenèse, voie orale, lapin";"50";"mg/kg p.c./j";"";100;"non nécessaire"
"15165-67-0";"dichlorprop-P";"UE";23/05/06;"AOEL";"0,35";"mg/kg/j";"90 jours, voie orale, rat";"35";"mg/kg p.c./j";"";100;"non nécessaire"
"257-141-8";"diclofop methyl";"UE";01/06/11;"ARFD";"0,03";"mg/kg pc";"Tératogenèse, voie orale, lapin";"3";"mg/kg p.c./j";"";100;"non nécessaire"
"257-141-8";"diclofop methyl";"UE";01/06/11;"DJA";"0,001";"mg/kg/j";"2 ans, voie orale, rat";"0,2";"mg/kg p.c./j";"";200;"non nécessaire"
"257-141-8";"diclofop methyl";"UE";01/06/11;"AOEL";"0,003";"mg/kg/j";"Tératogenèse, voie orale, lapin";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"119446-68-3";"difenoconazole";"UE";05/12/11;"AOEL";"0,16";"mg/kg/j";"Tératogenèse, voie orale, rat";"20";"mg/kg p.c./j";"";100;"non nécessaire"
"119446-68-3";"difenoconazole";"UE";05/12/11;"ARFD";"0,16";"mg/kg pc";"Tératogenèse, voie orale, rat";"20";"mg/kg p.c./j";"";100;"non nécessaire"
"119446-68-3";"difenoconazole";"UE";01/01/09;"DJA";"0,01";"mg/kg/j";"2 ans, voie orale, rat";"20";"mg/kg p.c./j";"";100;"non nécessaire"
"35367-38-5";"diflubenzuron";"UE";23/03/17;"AOEL";"0,033";"mg/kg/j";"1 an, voie orale, chien";"10";"mg/kg/p.c./j";"";100;"33%"
"35367-38-5";"diflubenzuron";"UE";23/03/17;"DJA";"0,1";"mg/kg/j";"1 an, voie orale, chien";"10";"mg/kg/p.c./j";"";100;"non nécessaire"
"35367-38-5";"diflubenzuron";"UE";23/03/17;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"83164-33-4";"diflufenican";"UE";30/06/08;"AOEL";"0,11";"mg/kg/j";"90 jours, voie orale, rat";"18,5";"mg/kg p.c./j";"";100;"58%"
"83164-33-4";"diflufenican";"UE";30/06/08;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"83164-33-4";"diflufenican";"UE";30/06/08;"DJA";"0,2";"mg/kg/j";"2 ans, voie orale, rat";"23,3";"mg/kg p.c./j";"90 jours, voie orale, rat";100;"non nécessaire"
"50563-36-5";"dimethachlore";"UE";01/01/10;"AOEL";"0,1";"mg/kg/j";"90 jours, voie orale, chien";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"50563-36-5";"dimethachlore";"UE";01/01/10;"DJA";"0,1";"mg/kg/j";"2 ans, voie orale, rat";"11,1";"mg/kg p.c./j";"90 jours, voie orale,  chien";100;"non nécessaire"
"50563-36-5";"dimethachlore";"UE";01/01/10;"ARFD";"0,5";"mg/kg pc";"Tératogenèse, voie orale, rat";"50";"mg/kg/p.c./j";"";100;"non nécessaire"
"163515-14-8";"Dimethenamid-P";"UE";01/09/19;"DJA";"0,04";"mg/kg/j";"90 jours, voie orale, chien";"4,3";"mg/kg p.c./j";"2 ans, voie orale, rat";100;"non nécessaire"
"163515-14-8";"Dimethenamid-P";"UE";01/09/19;"AAOEL";"0,08";"mg/kg pc";"Tératogenèse, voie orale, rat";"25";"mg/kg/p.c./j";"";300;"non nécessaire"
"163515-14-8";"Dimethenamid-P";"UE";01/09/19;"AOEL";"0,04";"mg/kg/j";"90 jours, voie orale, chien";"4,3";"mg/kg p.c./j";"";100;"non nécessaire"
"163515-14-8";"Dimethenamid-P";"UE";01/09/19;"ARFD";"0,08";"mg/kg pc";"Tératogenèse, voie orale, rat";"25";"mg/kg p.c./j";"";300;"non nécessaire"
"110488-70-5";"dimethomorphe";"UE";23/04/07;"DJA";"0,05";"mg/kg/j";"1 an, voie orale, chien";"5";"mg/kg p.c./j";"";100;"non nécessaire"
"110488-70-5";"dimethomorphe";"UE";23/04/07;"ARFD";"0,6";"mg/kg pc";"Tératogenèse, voie orale, rat";"60";"mg/kg/p.c./j";"";100;"non nécessaire"
"110488-70-5";"dimethomorphe";"UE";23/04/07;"AOEL";"0,15";"mg/kg/j";"90 jours, voie orale, chien";"15";"mg/kg p.c./j";"90 jours, voie orale, rat";100;"non nécessaire"
"149961-52-4";"dimoxystrobine";"UE";19/08/05;"AOEL";"0,02";"mg/kg/j";"18 mois, voie orale, souris";"4";"mg/kg p.c./j";"7 jours, voie orale, rat";200;"non nécessaire"
"149961-52-4";"dimoxystrobine";"UE";19/08/05;"ARFD";"0,004";"mg/kg pc";"Autre(s) étude(s)";"4";"mg/kg p.c./j";"7 jours, voie orale, rat";1000;"non nécessaire"
"149961-52-4";"dimoxystrobine";"UE";19/08/05;"DJA";"0,004";"mg/kg/j";"Autre(s) étude(s)";"4";"mg/kg p.c./j";"7 jours, voie orale, rat";1000;"non nécessaire"
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"UE";23/03/18;"DJA";"2,25";"mg/kg/j";"2 ans, voie orale, rat";"224,47";"mg/kg p.c./j";"";100;"non nécessaire"
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"UE";23/03/18;"AOEL";"2";"mg/kg/j";"Tératogenèse, voie orale, lapin";"275";"mg/kg p.c./j";"";100;"70%"
"13708-85-5 ou (130184-07-5 ou 16926-95-7)";"disodium phosphanate";"UE";23/03/18;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"3347-22-6";"dithianon";"UE";01/06/05;"AOEL";"0,0135";"mg/kg/j";"90 jours, voie orale, chien";"3";"mg/kg p.c./j";"";100;"45%"
"3347-22-6";"dithianon";"UE";01/06/11;"DJA";"0,01";"mg/kg/j";"2 ans, voie orale, rat";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"3347-22-6";"dithianon";"UE";01/06/11;"ARFD";"0,12";"mg/kg pc";"28 jours, voie orale, rat";"12";"mg/kg p.c./j";"7 jours, voie orale, rat (études mécanistiques sur la toxicité rénale)";100;"non nécessaire"
"2439-10-3 ";"doguadine";"UE";01/02/11;"DJA";"0,1";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"2439-10-3 ";"doguadine";"UE";01/02/11;"ARFD";"0,1";"mg/kg pc";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"2439-10-3 ";"doguadine";"UE";01/02/11;"AOEL";"0,045";"mg/kg/j";"90 jours, voie orale, rat";"10";"mg/kg p.c./j";"1 an, voie orale, chien";100;"45%"
"155569-91-8";"emamectine benzoate";"UE";01/01/13;"ARFD";"0,01";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"5";"mg/kg p.c./j";"";500;"non nécessaire"
"155569-91-8";"emamectine benzoate";"UE";01/01/13;"AOEL";"0,0003";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"0,25";"mg/kg p.c./j";"";500;"55%"
"155569-91-8";"emamectine benzoate";"UE";01/01/13;"DJA";"0,0005";"mg/kg/j";"2 ans, voie orale, rat";"0,25";"mg/kg p.c./j";"1 an, voie orale, chien";500;"non nécessaire"
"66230-04-4";"esfenvalerate";"UE";01/01/16;"AOEL";"0,011";"mg/kg/j";"Neurotoxicité, voie orale, rat, aigue";"1,75";"mg/kg p.c./j";"";100;"64%"
"66230-04-4";"esfenvalerate";"UE";01/01/16;"ARFD";"0,0175";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"1,75";"mg/kg p.c./j";"";100;"non nécessaire"
"66230-04-4";"esfenvalerate";"UE";01/01/16;"DJA";"0,0175";"mg/kg/j";"Neurotoxicité, voie orale, rat, aigue";"1,75";"mg/kg p.c./j";"";100;"non nécessaire"
