(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) restrictions usage;(produit) restrictions usage libelle;(produit) Substances actives;(produit) fonctions;(produit) formulations;(produit) Etat d’autorisation;(produit) Date de retrait du produit;(produit) Date de première autorisation;(produit) Numéro AMM du produit de référence;(produit) Nom du produit de référence;
PPP;6400279;ORGANIL 66 POUDRAGE;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;manèbe (Maneb) 4.8 % | soufre triture ventile (Sulphur) 48.0 % | Carbatene (Carbatene) 1.2 %;;Poudre pour poudrage;RETIRE;01/10/1988;01/12/1964;;;
PPP;6400293;SUPER HELICIDE;;RHODIA CHIMIE;Produit de référence;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Appât sur grains;RETIRE;01/11/1994;01/12/1964;;;
PPP;6400295;NITROSERB;;SEDAGRI                       DEP.RHONE POULENC AG;Produit de référence;;;;;DNOC (DNOC) 625.0 g/L;;Suspension aqueuse;RETIRE;01/11/1994;01/12/1964;;;
PPP;6400297;SEMERONE 25;;CIBA GEIGY;Produit de référence;;;;;desmétryne (Desmetryne) 25.0 %;ND;Poudre mouillable;RETIRE;01/11/1996;01/12/1966;;;
PPP;6400317;NYVOL CE 3;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;Huiles blanches de petrole (Huiles blanches de petrole) 770.0 g/L | Parathion-ethyl (Parathion-ethyl) 30.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400318;DESHERBANT L 50;;CYANAMID AGRO;Produit de référence;;;;;linuron (Linuron) 50.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400321;METHYL PARETOX POUDRAGE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 2.0 %;;Poudre pour poudrage;RETIRE;01/12/2000;01/12/1965;;;
PPP;6400322;METHYL PARETOX 40;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 400.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;01/12/2000;01/12/1965;;;
PPP;6400323;PARETOX 10;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;Parathion-ethyl (Parathion-ethyl) 10.0 %;;Poudre mouillable;RETIRE;01/12/2000;01/12/1965;;;
PPP;6400324;LIMALDEHYDE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Microgranulé;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400330;ASPOR M;;MONTEDISON FRANCE;Produit de référence;;;;;manèbe (Maneb) 80.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400335;CUPRONYL EXTRA;;DOW ELANCO SA;Produit de référence;;;;;cuivre de l'oxychlorure de cuivre (Copper compounds) 37.5 % | zinèbe (Zineb) 15.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400344;TRIMANZONE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;ferbame (Ferbam) 10.0 % | manèbe (Maneb) 66.4 % | zinèbe (Zineb) 10.0 %;;Poudre mouillable;RETIRE;17/05/2014;01/12/1965;;;
PPP;6400345;DYMID;;DOW ELANCO SA;Produit de référence;;;;;Difenamide (Difenamide) 80.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400347;ORDRAM PEPRO;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;molinate (Molinate) 750.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400371;GESARAN 2079;;CIBA GEIGY;Produit de référence;;;;;simazine (Simazine) 5.0 % | Metoprotryne (Metoprotryne) 22.5 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400381;SUPER Z MACCLESFIELD;;AGTROL INTERNATIONAL S.A.;Produit de référence;;Emploi autorisé dans les jardins;;;sulfate de cuivre (Copper compounds) 17.5 % | zinèbe (Zineb) 7.0 %;Fongicide;Poudre mouillable;RETIRE;20/10/2001;01/12/1965;;;
PPP;6400392;ORTHO C 18;;CHEVRON SERVICES COMPANY SAS;Produit de référence;;;;;dinosèbe sel d'ammonium (Dinoseb) 20.0 ..;;;RETIRE;01/04/1992;01/12/1965;;;
PPP;6400396;WEEDONE 360;;CFPI AGRO;Produit de référence;;;;;2,4,5-T ester de butyl glycol (2,4,5-T) 360.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400405;DORICUIVRE 50;;DELPECH;Produit de référence;;;;;cuivre de l'oxychlorure de cuivre (Copper compounds) 50.0 %;;Poudre mouillable;RETIRE;11/10/2006;01/12/1965;;;
PPP;6400406;MANEBDOR;;DELPECH;Produit de référence;;;;;manèbe (Maneb) 80.0 %;;Poudre mouillable;RETIRE;06/04/2001;01/12/1965;;;
PPP;6400409;METHYL BLADAN 2;;BAYER SAS;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 2.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6400410;POMARSOL Z;;BAYER SAS;Produit de référence;;;;;zirame (Ziram) 90.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500022;TRINOL;;LITTORALE;Produit de référence;;;;;dicamba sel d'amine (Dicamba) 32.0 g/L | MCPA sels de sodium et de potassium (MCPA) 360.0 g/L;;Liquide;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500023;LINDEX BOUILLIE 90;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;gamma-HCH (Gamma-HCH) 90.0 %;Insecticide;Poudre mouillable;RETIRE;05/02/1998;01/12/1965;;;
PPP;6700479;TRI-VC-13 GRANULE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;dichlofenthion (Dichlofenthion) 5.0 %;;Granulé;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700480;DODINAL BF;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;dodine (Dodine) 90.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700486;TRAITAL PM;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;malathion (Malathion) 5.0 % | manèbe (Maneb) 12.0 % | soufre micronisé (Sulphur) 30.0 % | gamma-HCH (Gamma-HCH) 1.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700487;TRAITAL POUDRAGE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;malathion (Malathion) 2.0 % | manèbe (Maneb) 7.0 % | soufre micronisé (Sulphur) 30.0 % | gamma-HCH (Gamma-HCH) 0.6 %;;Poudre pour poudrage;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700489;CARBOTHION;;PHYTEUROP;Produit de référence;;;;;carbophénothion (Carbophenothion) 20.0 %;Insecticide;Poudre mouillable;RETIRE;01/04/1999;01/12/1968;;;
PPP;6700491;CHLORANOX;;PHYTOSAN;Produit de référence;;;;;chlorate de sodium (Chlorates) 50.0 g/L;;;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700493;MANCATENE 80;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;manèbe (Maneb) 65.0 % | Carbatene (Carbatene) 15.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700494;SOUFRAN MIX;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;malathion (Malathion) 5.0 % | soufre micronisé (Sulphur) 30.0 % | thirame (Thiram) 15.0 % | gamma-HCH (Gamma-HCH) 2.5 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6700500;SOVI NEXION 25 EMULSION;;Evergreen Garden Care France SAS;Produit de référence;;;;;bromophos (Bromophos) 250.0 g/L;;Liquide;RETIRE;01/10/1991;01/12/1969;;;
PPP;6700508;MANOCUPRYL;;ISAGRO SPA;Produit de référence;;;;;sulfate de cuivre (Copper compounds) 17.0 % | manèbe (Maneb) 10.0 %;Fongicide;Poudre mouillable;RETIRE;28/07/2007;01/12/1968;;;
PPP;6700510;LINDANYL 90;;DOW ELANCO SA;Produit de référence;;;;;gamma-HCH (Gamma-HCH) 90.0 %;;Poudre mouillable;RETIRE;01/12/1989;01/12/1968;;;
PPP;6700512;MALTIONOX 50;;DOW ELANCO SA;Produit de référence;;;;;malathion (Malathion) 500.0 g/L;;Liquide;RETIRE;01/12/1989;01/12/1968;;;
PPP;6800001;THIODAN H7;;FRANCAISE HOECHST;Produit de référence;;;;;endosulfan (Endosulfan) 70.0 g/L;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800003;BIRLANE CE 25;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;chlorfenvinphos (Chlorfenvinphos) 250.0 g/L;;Liquide;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800009;KB MOUSSES LICHENS;;RHODIA CHIMIE;Produit de référence;;;;;DNOC (DNOC) 100.0 g/L | Huile anthracenique (Huile anthracenique) 450.0 g/L;;Liquide;RETIRE;01/10/1995;01/12/1968;;;
PPP;6800013;SOVI ROXION;;Evergreen Garden Care France SAS;Produit de référence;;;;;diméthoate (Dimethoate) 400.0 g/L;;Liquide;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800022;TORAK E;;SOPRA;Produit de référence;;;;;dialiphos (Dialifos) 432.0 g/L;Insecticide;Liquide;RETIRE;05/11/1999;01/12/1969;;;
PPP;6800034;ZITAN 85 CG;;CIBA GEIGY;Produit de référence;;;;;Hydrolisat de proteines (Hydrolisat de proteines) 100.0 %;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800040;NOVERMONE TP;;CFPI AGRO;Produit de référence;;;;;fénoprop (Fenoprop) 480.0 g/L;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800043;MICROLUX SP;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;soufre micronisé (Sulphur) 80.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800051;CARFENE BOUILLIE CONCENTRE;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;azinphos-méthyl (Azinphos-methyl) 40.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800053;UGEGAMMA;;PHYTEUROP;Produit de référence;;;;;gamma-HCH (Gamma-HCH) 90.0 %;Insecticide;Poudre mouillable;RETIRE;05/02/1998;01/12/1968;;;
PPP;6800069;LASSO MONSANTO;;MONSANTO SAS;Produit de référence;;;;;alachlore (Alachlor) 480.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;28/04/2007;01/12/1968;;;
PPP;6800070;SOLGAM 3;;SOPRA;Produit de référence;;;;;gamma-HCH (Gamma-HCH) 3.0 %;;Poudre pour poudrage;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800082;NOVERMONE T;;CFPI AGRO;Produit de référence;;;;;2,4,5-T ester de butyl glycol (2,4,5-T) 480.0 g/L;Herbicide;Liquide;RETIRE;01/10/1997;01/12/1968;;;
PPP;6800095;KB DESHERBANT GAZON;;Evergreen Garden Care France SAS;Produit de référence;;;;;2,4-D sel d'amine (2,4-D) 100.0 g/L | mécoprop sel d'amine (Mecoprop) 400.0 g/L;Herbicide;Liquide;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800101;CYDEXONE DEBROUSSAILLANT;;SEDAGRI                       DEP.RHONE POULENC AG;Produit de référence;;;;;2,4,5-T ester de butyl glycol (2,4,5-T) 85.0 g/L | 2,4-D ester de butyl glycol (2,4-D) 165.0 g/L;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800106;FUZ;;MAGRI FRANCE;Produit de référence;;;;;soufre triture ventile (Sulphur) 25.0 % | Composition complexe (Composition complexe) 5.0 %;;Fusée;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800109;GESAL INSECTES POUDRE;;CIBA GEIGY;Produit de référence;;;;;carbaryl (Carbaryl) 5.0 %;;Poudre pour poudrage;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800111;GESAL LIMACES;;AIRWICK INDUSTRIE;Produit de référence;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Appât sur grains;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800120;LIMAGRI;;Evergreen Garden Care France SAS;Produit de référence;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Appât sur grains;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800122;UGECURON;;PHYTEUROP;Produit de référence;;;;;linuron (Linuron) 50.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800129;CEREGAM BOULLIE;;SOPRA;Produit de référence;;;;;gamma-HCH (Gamma-HCH) 20.0 % | Mercure du silicate de methoxyethylmercure (Mercure du silicate de methoxyethylmercure) 1.5 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800130;CEREGAM ANTI CORBEAUX BOUILLIE;;SOPRA;Produit de référence;;;;;anthraquinone (Anthraquinone) 35.0 % | gamma-HCH (Gamma-HCH) 20.0 % | Mercure du silicate de methoxyethylmercure (Mercure du silicate de methoxyethylmercure) 1.5 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800151;PHYTOSOL 5;;BAYER SAS;Produit de référence;;;;;trichloronate (Trichloronate) 5.0 %;;Granulé;RETIRE;01/11/1989;01/12/1969;;;
PPP;6800153;MYCODIFOL F;;SOPRA;Produit de référence;;;;;folpel (Folpet) 64.0 % | captafol (Captafol) 16.0 %;;Poudre mouillable;RETIRE;01/06/1992;01/12/1968;;;
PPP;6800156;CHLORVEX;;S I C O;Produit de référence;;;;;chlorate de sodium (Chlorates) 50.0 % | Chlorure de sodium (Chlorure de sodium) 50.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800172;PREFIX G 7 5;;CYANAMID AGRO;Produit de référence;;;;;chlorthiamide (Chlorthiamid) 7.5 %;Herbicide;Granulé;RETIRE;07/12/2001;01/12/1968;;;
PPP;6800180;SOVELIX;;Evergreen Garden Care France SAS;Produit de référence;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Appât sur grains;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800184;DITHANE C-90;;ROHM AND HAAS FRANCE;Produit de référence;;;;;mancopper (Mancopper) 70.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800185;DITHANE C 90 42% SEMENCES;;ROHM AND HAAS FRANCE;Produit de référence;;;;;mancopper (Mancopper) 42.0 % | gamma-HCH (Gamma-HCH) 40.0 %;Fongicide | Insecticide;Poudre pour poudrage;RETIRE;05/02/1998;01/12/1968;;;
PPP;6800186;DITHANE C 90 SPECIAL SEMENCES 42 %;;ROHM AND HAAS FRANCE;Produit de référence;;;;;anthraquinone (Anthraquinone) 20.0 % | mancopper (Mancopper) 42.0 % | gamma-HCH (Gamma-HCH) 19.8 %;Fongicide | Insecticide;Poudre pour poudrage;RETIRE;05/02/1998;01/12/1968;;;
PPP;6800190;CERATENE;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;Hydrolisat de proteines (Hydrolisat de proteines) 42.0 %;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800193;GAMMORAN FIXOGRAIN AC 35 BOUILLIE;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;anthraquinone (Anthraquinone) 35.0 % | gamma-HCH (Gamma-HCH) 20.0 % | Mercure du silicate de methoxyethylmercure (Mercure du silicate de methoxyethylmercure) 1.5 %;;Poudre à pulvériser;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800195;POUDRAGE NEXION 2;;Evergreen Garden Care France SAS;Produit de référence;;;;;bromophos (Bromophos) 2.0 %;;Poudre pour poudrage;RETIRE;01/10/1991;01/12/1968;;;
PPP;6800201;VITAVAX;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;carboxine (Carboxin) 50.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800202;QUINOLATE V-4-X TRIPLE;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;anthraquinone (Anthraquinone) 16.6 % | carboxine (Carboxin) 33.5 % | gamma-HCH (Gamma-HCH) 16.6 % | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 10.0 %;Fongicide | Insecticide;Poudre à pulvériser;RETIRE;05/02/1998;01/12/1968;;;
PPP;6800203;DECAROPRON;;RAFFINERIES DE SOUFRE REUNIES;Produit de référence;;;;;Huiles blanches de petrole (Huiles blanches de petrole) 100.0 g/L;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800206;MERTISAN;;DOW ELANCO SA;Produit de référence;;;;;captane (Captan) 80.0 %;;Poudre à pulvériser;RETIRE;01/12/1989;01/12/1968;;;
PPP;6800214;FOLTISEB;;DOW ELANCO SA;Produit de référence;;;;;folpel (Folpet) 25.0 % | manèbe (Maneb) 50.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1969;;;
PPP;6800229;TRIMILTOX NC;;SANDOZ AGRO;Produit de référence;;;;;cuivre de l'oxychlorure de cuivre (Copper compounds) 13.5 % | cuivre du carbonate de cuivre (Copper compounds) 2.7 % | sulfate de cuivre (Copper compounds) 2.4 % | mancozèbe (Mancozeb) 12.8 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800261;SUPERORMONE CONCENTRE;;PHILAGRO;Produit de référence;;;;;2,4-D ester de butyl glycol (2,4-D) 225.0 g/L | MCPA ester de butylglycol (MCPA) 270.0 g/L;Herbicide;Liquide;RETIRE;25/10/2006;01/12/1968;;;
PPP;6800263;DESORMONE TOTAL CONCENTRE;;NUFARM S.A;Produit de référence;;;;;2,4-D sel d'amine (2,4-D) 130.0 g/L | dichlorprop sel de potassium (Dichlorprop) 520.0 g/L;Herbicide;Liquide;RETIRE;06/02/2004;01/12/1968;;;
PPP;6800268;UGECOIL P;;PHYTEUROP;Produit de référence;;;;;Huiles blanches de petrole (Huiles blanches de petrole) 700.0 g/L | Parathion-ethyl (Parathion-ethyl) 30.0 g/L;;Liquide;RETIRE;20/10/2001;01/12/1968;;;
PPP;6800269;UGECAP;;PHYTEUROP;Produit de référence;;;;;captane (Captan) 80.0 %;;Poudre mouillable;RETIRE;08/02/2002;01/12/1968;;;
PPP;6800271;DICOPHYT 25 WP;;PHYTEUROP;Produit de référence;;;;;dicofol (Dicofol) 25.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800272;DICOPHYT 50 EL;;PHYTEUROP;Produit de référence;;;;;dicofol (Dicofol) 480.0 g/L;Insecticide;Liquide;RETIRE;24/03/2009;01/12/1968;;;
PPP;6800273;FONGIPHYT B;;PHYTEUROP;Produit de référence;;;;;quintozène (Quintozene) 50.0 %;Fongicide;Poudre mouillable;RETIRE;07/02/2003;01/12/1969;;;
PPP;6800274;FONGIPHYT P;;PHYTEUROP;Produit de référence;;;;;quintozène (Quintozene) 20.0 %;;Poudre pour poudrage;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800275;FOLIMATE;;BAYER SAS;Produit de référence;;;;;ométhoate (Omethoate) 250.0 g/L;Insecticide;Liquide;RETIRE;06/02/2004;01/12/1968;;;
PPP;6800280;CAPNEBE;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;captane (Captan) 25.0 % | zinèbe (Zineb) 40.0 %;;Poudre mouillable;RETIRE;04/02/1999;01/12/1968;;;
PPP;6800284;TRI-PE-FORTE;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;diméxano (Dimexano) 670.0 g/L;;Liquide;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800285;BONEBE 80;;HOLDING SARL BOURGEOIS;Produit de référence;;;;;zinèbe (Zineb) 80.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800286;EKOCUIVRE A;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;cuivre de l'oxychlorure de cuivre (Copper compounds) 37.5 % | zinèbe (Zineb) 15.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800290;CERADRINE SUPER;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;diméthoate (Dimethoate) 120.0 g/L | malathion (Malathion) 300.0 g/L;;Liquide;RETIRE;01/10/1991;01/12/1968;;;
PPP;6800291;RO-NEET PROCIDA;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;cycloate (Cycloate) 720.0 g/L;;Liquide;RETIRE;01/11/1989;01/12/1969;;;
PPP;6800292;MOLOSS;;PROCIDA /ROUSSEL UCLAF        DIV AGROVET HOMOLOG;Produit de référence;;;;;sulfate de cuivre (Copper compounds) 9.0 % | manèbe (Maneb) 32.0 % | Carbatene (Carbatene) 8.0 %;;Poudre mouillable;RETIRE;01/11/1988;01/12/1968;;;
PPP;6800298;GROUPACUIVRE;;SOPRAGRI;Produit de référence;;;;;cuivre de l'oxychlorure de cuivre (Copper compounds) 37.5 % | zinèbe (Zineb) 15.0 %;;Poudre mouillable;RETIRE;01/11/1989;01/12/1969;;;
PPP;6800299;PARALINDEX;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 60.0 g/L | gamma-HCH (Gamma-HCH) 60.0 g/L;;Concentré émulsionnable;RETIRE;01/10/1990;01/12/1968;;;
PPP;6500030;MPT SCHERING;;SCHERING;Produit de référence;;;;;2,4,5-T sel de diethylamine (2,4,5-T) 12.8 % | mécoprop sel de potassium (Mecoprop) 30.2 %;;Poudre soluble dans l'eau;RETIRE;01/11/1987;01/12/1967;;;
PPP;6500034;ULTRACIDE 20 BOUILLIE;;SYNGENTA FRANCE SAS;Produit de référence;;;;;méthidathion (Methidathion) 20.0 %;Insecticide;Poudre mouillable;RETIRE;01/10/2004;01/12/1965;;;
PPP;6500052;NEUTRION;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 150.0 g/L | tetradifon (Tetradifon) 80.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500053;DIMETOX CONCENTRE;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;diméthoate (Dimethoate) 400.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500059;PARASOUFRE 2;;CEREXAGRI S.A.S.;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 2.0 % | Soufre sublime (Soufre sublime) 60.0 %;;Poudre pour poudrage;RETIRE;06/02/2004;01/12/1965;;;
PPP;6500082;GOBATHION M LIQUIDE;;CYANAMID AGRO;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 400.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500086;ULTRACIDE 20 LIQUIDE;;SYNGENTA FRANCE SAS;Produit de référence;;;;;méthidathion (Methidathion) 193.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;17/05/2014;01/12/1965;;;
PPP;6500094;ANTRACOL 6;;BAYER SAS;Produit de référence;;;;;propinèbe (Propineb) 6.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500095;MORESTAN 2;;BAYER SAS;Produit de référence;;;;;chinométhionate (Chinomethionat) 2.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500096;WEEDONE T.6;;CFPI AGRO;Produit de référence;;;;;2,4,5-T ester de butyl glycol (2,4,5-T) 720.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500109;CORBANEBE;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;anthraquinone (Anthraquinone) 35.0 % | manèbe (Maneb) 48.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500110;GRANEBE TRIPLE;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;anthraquinone (Anthraquinone) 25.0 % | manèbe (Maneb) 40.0 % | gamma-HCH (Gamma-HCH) 20.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500111;LINEBE;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;manèbe (Maneb) 48.0 % | gamma-HCH (Gamma-HCH) 20.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500112;GRANEBE;;SHELL CHIMIE  AGRISHELL       DIVISION AGRICOLE;Produit de référence;;;;;manèbe (Maneb) 48.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500114;THIODAN SHELL;;CYANAMID AGRO;Produit de référence;;;;;endosulfan (Endosulfan) 175.0 g/L;;Concentré émulsionnable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500115;VENTION SUPER 2;;MARTY ET PARAZOLS;Produit de référence;;;;;parathion-méthyl (Parathion-methyl) 2.0 % | soufre triture ventile (Sulphur) 80.0 %;;Poudre pour poudrage;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500118;QUINOLATE TRIPLE KARA;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;anthraquinone (Anthraquinone) 26.5 % | gamma-HCH (Gamma-HCH) 26.5 % | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 20.0 %;;Poudre à pulvériser;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500120;UMUXEBE SEMENCES;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;manèbe (Maneb) 48.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500122;UMUXEBE TRIPLE;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;anthraquinone (Anthraquinone) 20.0 % | manèbe (Maneb) 48.0 % | gamma-HCH (Gamma-HCH) 20.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500133;CHLOROBLE M TAUPINS;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;mancozèbe (Mancozeb) 48.0 % | gamma-HCH (Gamma-HCH) 20.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500135;CHLOROBLE M CORBEAUX;;PEPRO  DEP.RHONE POULENC AGROCHIMIE;Produit de référence;;;;;anthraquinone (Anthraquinone) 35.0 % | mancozèbe (Mancozeb) 48.0 %;;Poudre à pulvériser;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500136;CHLOROBLE M TOTAL;;RHONE POULENC AGRO FRANCE;Produit de référence;;;;;anthraquinone (Anthraquinone) 25.0 % | manèbe (Maneb) 40.0 % | gamma-HCH (Gamma-HCH) 20.0 %;;Poudre mouillable;RETIRE;01/02/1997;01/12/1965;;;
PPP;6500153;COSAN;;DELPECH;Produit de référence;;;;;soufre micronisé (Sulphur) 80.0 %;;Poudre mouillable;RETIRE;01/11/1995;01/12/1965;;;
PPP;6500166;CUBEROL POUDRAGE;;Evergreen Garden Care France SAS;Produit de référence;;;;;roténone (Rotenone) 1.0 %;Insecticide;Poudre pour poudrage;RETIRE;05/10/2006;01/12/1965;;;
