"","SA_CodeCAS","SA_Libelle","SA_PNEC","source","mise_a_jour","SA_Statut"
"352","71626-11-4","Benalaxyl",NA,"EPHY",NA,"NON_INSCRITE"
"353","","Coniothyrium minitans strain CON/M/91-08",NA,"EPHY",NA,"INSCRITE"
"354","23950-58-5","Propyzamide",NA,"EPHY",NA,"INSCRITE"
"355","137-26-8","Thiram",NA,"EPHY",NA,"NON_INSCRITE"
"356","68359-37-5","Beta-Cyfluthrin",NA,"EPHY",NA,"NON_INSCRITE"
"357","13684-56-5","Desmedipham",NA,"EPHY",NA,"NON_INSCRITE"
"358","96525-23-4","Flurtamone",NA,"EPHY",NA,"NON_INSCRITE"
"359","161050-58-4","Methoxyfenozide",NA,"EPHY",NA,"INSCRITE"
"360","2032-65-7","Methiocarb",NA,"EPHY",NA,"NON_INSCRITE"
"361","","Benzovindiflupyr",NA,"EPHY",NA,"INSCRITE"
"362","","Bacillus amyloliquefaciens FZB24",NA,"EPHY",NA,"INSCRITE"
"363","144740-54-5","Flupyrsulfuron-methyl",NA,"EPHY",NA,"NON_INSCRITE"
"364","946578-00-3","Sulfoxaflor",NA,"EPHY",NA,"INSCRITE"
"365","","3-decen-2-one",NA,"EPHY",NA,"NON_INSCRITE"
"366","","A15149W",NA,"EPHY",NA,"INSCRIPTION_EN_COURS"
"367","958647-10-4","Flutianil",NA,"EPHY",NA,"INSCRITE"
"368","","Orthosulfamuron",NA,"EPHY",NA,"NON_INSCRITE"
"369","61-82-5","Amitrole",NA,"EPHY",NA,"NON_INSCRITE"
"370","28772-56-7","Bromadiolone",NA,"EPHY",NA,"NON_INSCRITE"
"371","64902-72-3","Chlorsulfuron",NA,"EPHY",NA,"NON_INSCRITE"
"372","","Bacillus subtilis strain IAB/BS03",NA,"EPHY",NA,"INSCRITE"
"373","","Pasteuria nishizawae Pn1",NA,"EPHY",NA,"INSCRITE"
"374","111988-49-9","Thiacloprid",NA,"EPHY",NA,"NON_INSCRITE"
"375","161326-34-7","Fenamidone",NA,"EPHY",NA,"NON_INSCRITE"
"376","129630-19-9","Pyraflufen-ethyl",NA,"EPHY",NA,"INSCRITE"
"377","34123-59-6","Isoproturon",NA,"EPHY",NA,"NON_INSCRITE"
"378","123312-89-0","Pymetrozine",NA,"EPHY",NA,"NON_INSCRITE"
"379","117428-22-5","Picoxystrobin",NA,"EPHY",NA,"NON_INSCRITE"
"380","","Pepino Mosaic Virus, CH2 strain, isolate 1906",NA,"EPHY",NA,"INSCRITE"
"381","145026-81-9 (parent). 181274-15-7 (sodium salt)","Propoxycarbazone",NA,"EPHY",NA,"INSCRITE"
"382","12071-83-9 (monomer), 9016-72-2 (homopolymer)","Propineb",NA,"EPHY",NA,"NON_INSCRITE"
"383","","Mandestrobin",NA,"EPHY",NA,"INSCRITE"
"384","94-82-6 | 2039-46-5 (sel de DMA)","2,4-DB",NA,"EPHY",NA,"INSCRITE"
"385","","Flumetralin",NA,"EPHY",NA,"INSCRITE"
"386","","Cyclaniliprole",NA,"EPHY",NA,"NON_INSCRITE"
"387","","Tricyclazole",NA,"EPHY",NA,"NON_INSCRITE"
"388","","Huile de colza esterifiee",NA,"EPHY",NA,"AUTRE_CAS"
"389","82097-50-5","Triasulfuron",NA,"EPHY",NA,"NON_INSCRITE"
"390","","Pseudozyma flocculosa",NA,"EPHY",NA,"NON_INSCRITE"
"391","124495-18-7","Quinoxyfen",NA,"EPHY",NA,"NON_INSCRITE"
"392","36734-19-7","Iprodione",NA,"EPHY",NA,"NON_INSCRITE"
"393","163515-14-8","Dimethenamid-P",NA,"EPHY",NA,"INSCRITE"
"394","22224-92-6","Fenamiphos",NA,"EPHY",NA,"NON_INSCRITE"
"395","173159-57-4","Foramsulfuron",NA,"EPHY",NA,"INSCRITE"
"396","68157-60-8","Forchlorfenuron",NA,"EPHY",NA,"INSCRITE"
"397","","3-isoxazolidinone",NA,"EPHY",NA,"NON_INSCRITE"
"398","1897-45-6","Chlorothalonil",NA,"EPHY",NA,"NON_INSCRITE"
"399","","Imazosulfuron",NA,"EPHY",NA,"NON_INSCRITE"
"400","101-21-3","Chlorpropham",NA,"EPHY",NA,"NON_INSCRITE"
"401","156052-68-5","Zoxamide",NA,"EPHY",NA,"INSCRITE"
"402","131807-57-3","Famoxadone",NA,"EPHY",NA,"NON_INSCRITE"
"403","","Dimethoate",NA,"EPHY",NA,"NON_INSCRITE"
"404","153233-91-1","Etoxazole",NA,"EPHY",NA,"INSCRITE"
"405","330-55-2","Linuron",NA,"EPHY",NA,"NON_INSCRITE"
"406","","Metschnikowia fructicola souche NRRL Y-27328",NA,"EPHY",NA,"INSCRITE"
"407","","ABE-IT 56",NA,"EPHY",NA,"INSCRITE"
"408","104040-78-0","Flazasulfuron",NA,"EPHY",NA,"INSCRITE"
"409","","1-Tetradecanol",NA,"EPHY",NA,"INSCRITE"
"410","","Rape seed oil ethyl ester",NA,"EPHY",NA,"AUTRE_CAS"
"411","103818-93-5","Alcools gras, C9-11, éthoxylé propoxylé",NA,"EPHY",NA,"AUTRE_CAS"
"412","8000-34-8 (US) & 84961-50-2 (EU) (clove oil) - 97-53-0 (Eugenol – main component)","Plant oils / Clove oil",NA,"EPHY",NA,"INSCRITE"
"413","86-86-2","1-Naphthylacetamide",NA,"EPHY",NA,"INSCRITE"
"414","","Limestone",NA,"EPHY",NA,"NON_INSCRITE"
"415","16752-77-5","Methomyl",NA,"EPHY",NA,"NON_INSCRITE"
"416","","Trimethylamine hydrochloride",NA,"EPHY",NA,"NON_INSCRITE"
"417","8000-78-0, CAS no. used in the ECB database 8008-99-9","Garlic extract",NA,"EPHY",NA,"INSCRITE"
"418","133-32-4","Indolylbutyric acid",NA,"EPHY",NA,"INSCRITE"
"419","90989-74-5","Blood meal",NA,"EPHY",NA,"INSCRITE"
"420","","ester méthylique d'acide gras",NA,"EPHY",NA,"AUTRE_CAS"
"421","27306-78-1","Copolymère trisiloxane",NA,"EPHY",NA,"AUTRE_CAS"
"422","","Silicone resin",NA,"EPHY",NA,"AUTRE_CAS"
"423","","Synthetic amorphous silica",NA,"EPHY",NA,"AUTRE_CAS"
"424","2797-51-5","Quinoclamine",NA,"EPHY",NA,"NON_INSCRITE"
"425","","Polydimethylsiloxane, ((2-octyldodecyl)oxy)",NA,"EPHY",NA,"AUTRE_CAS"
"426","60207-90-1","Propiconazole",NA,"EPHY",NA,"NON_INSCRITE"
"427","","Isoxadifen-ethyl",NA,"EPHY",NA,"AUTRE_CAS"
"428","64-19-7","Acetic acid",NA,"EPHY",NA,"INSCRITE"
"429","","Whey",NA,"EPHY",NA,"INSCRITE"
"430","68891-38-3","Alkyl éther sulfate de sodium",NA,"EPHY",NA,"AUTRE_CAS"
"431","","Zeta-Cypermethrin",NA,"EPHY",NA,"NON_INSCRITE"
"432","23564-05-8","Thiophanate-methyl",NA,"EPHY",NA,"NON_INSCRITE"
"433","","Fenbuconazole",NA,"EPHY",NA,"NON_INSCRITE"
"434","","Flubendiamide",NA,"EPHY",NA,"INSCRITE"
"435","2164-17-2","Fluometuron",NA,"EPHY",NA,"INSCRITE"
"436","","Halosulfuron methyl",NA,"EPHY",NA,"INSCRITE"
"437","155569-91-8","Emamectin",NA,"EPHY",NA,"INSCRITE"
"438","","Beauveria bassiana IMI389521",NA,"EPHY",NA,"INSCRITE"
"439","473798-59-3","Fenpyrazamine",NA,"EPHY",NA,"INSCRITE"
"440","134098-61-6","Fenpyroximate",NA,"EPHY",NA,"INSCRITE"
"441","239110-15-7","Fluopicolide",NA,"EPHY",NA,"INSCRITE"
"442","658066-35-4","Fluopyram",NA,"EPHY",NA,"INSCRITE"
"443","66332-96-5","Flutolanil",NA,"EPHY",NA,"INSCRITE"
"444","106-24-1","Geraniol",NA,"EPHY",NA,"INSCRITE"
"445","139968-49-3","Metaflumizone",NA,"EPHY",NA,"INSCRITE"
"446","","Plant oils / Citronella oil",NA,"EPHY",NA,"INSCRITE"
"447","","Quizalofop-P",NA,"EPHY",NA,"INSCRITE"
"448","5598-13-0","Chlorpyrifos-methyl",NA,"EPHY",NA,"NON_INSCRITE"
"449","6119-92-2","Meptyldinocap",NA,"EPHY",NA,"INSCRITE"
"450","180409-60-3","Cyflufenamid",NA,"EPHY",NA,"INSCRITE"
"451","57966-95-7","Cymoxanil",NA,"EPHY",NA,"INSCRITE"
"452","183675-82-3","Penthiopyrad",NA,"EPHY",NA,"INSCRITE"
"453","67233-85-6","Sodium 5-nitroguaiacolate",NA,"EPHY",NA,"INSCRITE"
"454","XDE-175-J: 187166-40-1 - XDE-175-L: 187166-15-0 - XDE-175 (Spinetoram): 935545-74-7","Spinetoram",NA,"EPHY",NA,"INSCRITE"
"455","330-54-1","Diuron",NA,"EPHY",NA,"NON_INSCRITE"
"456","89-83-8","Thymol",NA,"EPHY",NA,"INSCRITE"
"457","7784-26-1 - 7784-25-0","Aluminium ammonium sulphate",NA,"EPHY",NA,"INSCRITE"
"458","120923-37-7","Amidosulfuron",NA,"EPHY",NA,"INSCRITE"
"459","348635-87-0","Amisulbrom",NA,"EPHY",NA,"INSCRITE"
"460","11141-17-6","Azadirachtin",NA,"EPHY",NA,"INSCRITE"
"461","116255-48-2","Bromuconazole",NA,"EPHY",NA,"INSCRITE"
"462","20859-73-8","Aluminium phosphide",NA,"EPHY",NA,"INSCRITE"
"463","120162-55-2","Azimsulfuron",NA,"EPHY",NA,"INSCRITE"
"464","98243-83-5","Benalaxyl-M",NA,"EPHY",NA,"INSCRITE"
"465","2905-69-3","2,5-Dichlorobenzoic acid methylester",NA,"EPHY",NA,"INSCRITE"
"466","","Calcium hydroxide",NA,"EPHY",NA,"INSCRITE"
"467","1593-77-7","Dodemorph",NA,"EPHY",NA,"INSCRITE"
"468","120928-09-8","Fenazaquin",NA,"EPHY",NA,"INSCRITE"
"469","","COS-OGA",NA,"EPHY",NA,"INSCRITE"
"470","","Chromafenozide",NA,"EPHY",NA,"INSCRITE"
"471","101205-02-1","Cycloxydim",NA,"EPHY",NA,"INSCRITE"
"472","","Cyflumetofen",NA,"EPHY",NA,"INSCRITE"
"473","51338-27-3 | 257-141-8 (Diclofop-methyl) - 40843-25-2 (diclofop)","Diclofop",NA,"EPHY",NA,"INSCRITE"
"474","141776-32-1","Sulfosulfuron",NA,"EPHY",NA,"INSCRITE"
"475","","Tebufenpyrad",NA,"EPHY",NA,"INSCRITE"
"476","","Ethylene",NA,"EPHY",NA,"INSCRITE"
"477","97-53-0","Eugenol",NA,"EPHY",NA,"INSCRITE"
"478","136426-54-5","Fluquinconazole",NA,"EPHY",NA,"INSCRITE"
"479","61213-25-0","Flurochloridone",NA,"EPHY",NA,"INSCRITE"
"480","865318-97-4","Ametoctradin",NA,"EPHY",NA,"INSCRITE"
"481","","Lambda-Cyhalothrin",NA,"EPHY",NA,"INSCRITE"
"482","57018-04-9","Tolclofos-methyl",NA,"EPHY",NA,"INSCRITE"
"483","","Glufosinate",NA,"EPHY",NA,"NON_INSCRITE"
"484","","esters méthyliques d'acides gras, C14-C18 et C16-C18 insaturés (CAS N°67762-26-9)",NA,"EPHY",NA,"AUTRE_CAS"
"485","84066-95-5","Stéarate de sucrose",NA,"EPHY",NA,"AUTRE_CAS"
"486","108-62-3 (tetramer) - 9002-91-9 (homopolymer)","Metaldehyde",NA,"EPHY",NA,"INSCRITE"
"487","","Flupyradifurone",NA,"EPHY",NA,"INSCRITE"
"488","140923-17-7","Iprovalicarb",NA,"EPHY",NA,"INSCRITE"
"489","70630-17-0","Metalaxyl-M",NA,"EPHY",NA,"INSCRITE"
"490","149979-41-9","Tepraloxydim",NA,"EPHY",NA,"NON_INSCRITE"
"491","87820-88-0","Tralkoxydim",NA,"EPHY",NA,"NON_INSCRITE"
"492","127277-53-6","Prohexadione",NA,"EPHY",NA,"INSCRITE"
"493","55512-33-9","Pyridate",NA,"EPHY",NA,"INSCRITE"
"494","","Terpenoid blend QRD-460",NA,"EPHY",NA,"INSCRITE"
"495","189278-12-4","Proquinazid",NA,"EPHY",NA,"INSCRITE"
"496","","Lecithins",NA,"EPHY",NA,"INSCRITE"
"497","","Urtica spp.",NA,"EPHY",NA,"INSCRITE"
"498","121-75-5","Malathion",NA,"EPHY",NA,"INSCRITE"
"499","8002-74-2","Cire de paraffine",NA,"EPHY",NA,"AUTRE_CAS"
"500","","Bacillus firmus I-1582",NA,"EPHY",NA,"INSCRITE"
"501","","Hydrogen peroxide",NA,"EPHY",NA,"INSCRITE"
"502","","Beauveria bassiana strain NPP111B005",NA,"EPHY",NA,"INSCRITE"
"503","8003-34-7","Pyrethrins",NA,"EPHY",NA,"INSCRITE"
"504","","Carvone",NA,"EPHY",NA,"INSCRITE"
"505","57837-19-1","Metalaxyl",NA,"EPHY",NA,"INSCRITE"
"506","137641-05-5","Picolinafen",NA,"EPHY",NA,"INSCRITE"
"507","","Fusarium sp. Strain L13",NA,"EPHY",NA,"INSCRIPTION_EN_COURS"
"508","76703-62-3","Gamma-cyhalothrin",NA,"EPHY",NA,"INSCRITE"
"509","","Beauveria bassiana strain 147",NA,"EPHY",NA,"INSCRITE"
"510","","Cerevisane",NA,"EPHY",NA,"INSCRITE"
"511","","Metsulfuron-methyl",NA,"EPHY",NA,"INSCRITE"
"512","103055-07-8","Lufenuron",NA,"EPHY",NA,"NON_INSCRITE"
"513","83121-18-0","Teflubenzuron",NA,"EPHY",NA,"NON_INSCRITE"
"514","61790-53-2","Kieselgur (Diatomaceous earth)",NA,"EPHY",NA,"INSCRITE"
"515","","Propamocarb",NA,"EPHY",NA,"INSCRITE"
"516","","Inpyrfluxam",NA,"EPHY",NA,"AUTRE_CAS"
"517","10004-44-1","Hymexazol",NA,"EPHY",NA,"INSCRITE"
"518","","Bacillus thuringiensis subsp. kurstaki strain PB 54",NA,"EPHY",NA,"INSCRITE"
"519","106700-29-2","Pethoxamid",NA,"EPHY",NA,"INSCRITE"
"520","141517-21-7","Trifloxystrobin",NA,"EPHY",NA,"INSCRITE"
"521","","Diammonium phosphate",NA,"EPHY",NA,"INSCRITE"
"522","","Sunflower oil",NA,"EPHY",NA,"INSCRITE"
"523","","Clayed charcoal",NA,"EPHY",NA,"INSCRITE"
"524","15299-99-7","Napropamide",NA,"EPHY",NA,"INSCRITE"
"525","881685-58-1 -  (syn-isomer: 683777-13-1 / anti-isomer: 683777-14-2)","Isopyrazam",NA,"EPHY",NA,"INSCRITE"
"526","","Metam",NA,"EPHY",NA,"INSCRITE"
"527","","Lavandulyl senecioate",NA,"EPHY",NA,"INSCRITE"
"528","","1,2,4-triazole",NA,"EPHY",NA,"AUTRE_CAS"
"529","","Bacillus pumilus F-33",NA,"EPHY",NA,"AUTRE_CAS"
"530","","Burkholderia rinojensis souche A396 (suspension bact. non viable)",NA,"EPHY",NA,"AUTRE_CAS"
"531","","Cire d'abeille",NA,"EPHY",NA,"AUTRE_CAS"
"532","736994-63-1","Cyantraniliprole",NA,"EPHY",NA,"INSCRITE"
"533","","Derives d'acides gras vegetaux",NA,"EPHY",NA,"AUTRE_CAS"
"534","","Dimethyl disulfide",NA,"EPHY",NA,"AUTRE_CAS"
"535","3554-44-0","Imazalil",NA,"EPHY",NA,"INSCRITE"
"536","85-00-7","Diquat (dibromide)",NA,"EPHY",NA,"NON_INSCRITE"
"537","67564-91-4","Fenpropimorph",NA,"EPHY",NA,"NON_INSCRITE"
"538","12427-38-2","Maneb",NA,"EPHY",NA,"NON_INSCRITE"
"539","125401-92-5","Bispyribac sodium",NA,"EPHY",NA,"INSCRITE"
"540","","Fenpicoxamid",NA,"EPHY",NA,"INSCRITE"
"541","133855-98-8","Epoxiconazole",NA,"EPHY",NA,"NON_INSCRITE"
"542","","Heptamethyltrisiloxane modifie polyalkyleneoxide",NA,"EPHY",NA,"AUTRE_CAS"
"543","","Halauxifen-methyl",NA,"EPHY",NA,"INSCRITE"
"544","35367-38-5","Diflubenzuron",NA,"EPHY",NA,"INSCRITE"
"545","N/A","Fenugrec extract",NA,"EPHY",NA,"INSCRITE"
"546","","(3E, 13Z)-octadecadien-1-yl acetate",NA,"EPHY",NA,"INSCRITE"
"547","","(E)-5-Decenol",NA,"EPHY",NA,"INSCRITE"
"548","","Bacillus thuringiensis subsp. tenebrionis",NA,"EPHY",NA,"NON_INSCRITE"
"549","","Pepper",NA,"EPHY",NA,"NON_INSCRITE"
"550","7681-52-9","Sodium hypochlorite",NA,"EPHY",NA,"NON_INSCRITE"
"551","143390-89-0","Kresoxim-methyl",NA,"EPHY",NA,"INSCRITE"
"552","86-87-3","1-Naphtylacetic acid",NA,"EPHY",NA,"INSCRITE"
"553","1698-60-8","Chloridazon",NA,"EPHY",NA,"NON_INSCRITE"
"554","120068-37-3","Fipronil",NA,"EPHY",NA,"NON_INSCRITE"
"555","","Putrescin (1,4-Diaminobutane)",NA,"EPHY",NA,"NON_INSCRITE"
"556","","Sea-algae extract",NA,"EPHY",NA,"NON_INSCRITE"
"557","19666-30-9","Oxadiazon",NA,"EPHY",NA,"NON_INSCRITE"
"558","","Sodium aluminium silicate",NA,"EPHY",NA,"NON_INSCRITE"
"559","","Magnesium sulphate",NA,"EPHY",NA,"AUTRE_CAS"
"560","875915-78-9","Isofetamid",NA,"EPHY",NA,"INSCRITE"
"561","","Trichoderma asperellum (strain T34)",NA,"EPHY",NA,"INSCRITE"
"562","66215-27-8","Cyromazine",NA,"EPHY",NA,"NON_INSCRITE"
"563","56073-07-5","Difenacoum",NA,"EPHY",NA,"NON_INSCRITE"
"564","188425-85-6","Boscalid",NA,"EPHY",NA,"INSCRITE"
"565","","Fructose",NA,"EPHY",NA,"INSCRITE"
"566","90132-02-8","Vinegar",NA,"EPHY",NA,"INSCRITE"
"567","","Zucchini Yellow Mosaik Virus, weak strain",NA,"EPHY",NA,"INSCRITE"
"568","","Benthiavalicarb",NA,"EPHY",NA,"INSCRITE"
"569","41483-43-6","Bupirimate",NA,"EPHY",NA,"INSCRITE"
"570","","Calcium carbide",NA,"EPHY",NA,"INSCRITE"
"571","144651-06-9","Oxasulfuron",NA,"EPHY",NA,"NON_INSCRITE"
"572","144-55-8","Sodium hydrogen carbonate",NA,"EPHY",NA,"INSCRITE"
"573","13194-48-4","Ethoprophos",NA,"EPHY",NA,"NON_INSCRITE"
"574","10043-01-3","Aluminium sulphate",NA,"EPHY",NA,"INSCRITE"
"575","","Imidacloprid",NA,"EPHY",NA,"NON_INSCRITE"
"576","","Salix spp. cortex",NA,"EPHY",NA,"INSCRITE"
"577","","Isaria fumosorosea Apopka strain 97",NA,"EPHY",NA,"INSCRITE"
"578","631-61-8","Ammonium acetate",NA,"EPHY",NA,"NON_INSCRITE"
"579","50-81-7","Ascorbic acid",NA,"EPHY",NA,"INSCRITE"
"580","113614-08-7","Beflubutamid",NA,"EPHY",NA,"INSCRITE"
"581","1861-40-1","Benfluralin",NA,"EPHY",NA,"INSCRITE"
"582","15545-48-9","Chlorotoluron",NA,"EPHY",NA,"INSCRITE"
"583","121552-61-2","Cyprodinil",NA,"EPHY",NA,"INSCRITE"
"584","15165-67-0","Dichlorprop-P",NA,"EPHY",NA,"INSCRITE"
"585","","Dimoxystrobin",NA,"EPHY",NA,"INSCRITE"
"586","87392-12-9","S-Metolachlor",NA,"EPHY",NA,"INSCRITE"
"587","42576-02-3","Bifenox",NA,"EPHY",NA,"INSCRITE"
"588","","Chlorpyrifos",NA,"EPHY",NA,"NON_INSCRITE"
"589","65-85-0","Benzoic acid",NA,"EPHY",NA,"INSCRITE"
"590","3060-89-7","Metobromuron",NA,"EPHY",NA,"INSCRITE"
"591","","Trichoderma atroviride strain I-1237",NA,"EPHY",NA,"INSCRITE"
"592","82657-04-3","Bifenthrin",NA,"EPHY",NA,"NON_INSCRITE"
"593","","6-Benzyladenine",NA,"EPHY",NA,"INSCRITE"
"594","153719-23-4","Thiamethoxam",NA,"EPHY",NA,"INSCRITE"
"595","83-46-5","Beta-sitostérol",NA,"EPHY",NA,"AUTRE_CAS"
"596","","Streptomyces K61 (formerly S. griseoviridis)",NA,"EPHY",NA,"INSCRITE"
"597","953030-84-7","Buprofezin",NA,"EPHY",NA,"INSCRITE"
"598","","Trinexapac",NA,"EPHY",NA,"INSCRITE"
"599","","Bensulfuron",NA,"EPHY",NA,"INSCRITE"
"600","","Mefentrifluconazole",NA,"EPHY",NA,"INSCRITE"
"601","","Rescalure",NA,"EPHY",NA,"INSCRITE"
"602","","Repellents by smell of animal or plant origin/fish",NA,"EPHY",NA,"INSCRITE"
"603","","Verticillium albo-atrum (WCS850)",NA,"EPHY",NA,"INSCRITE"
"604","31393-98-3","Oligomères d'alpha-pinène et bêta-pinène (CAS N° 31393-98-3) ",NA,"EPHY",NA,"AUTRE_CAS"
"605","","Methyl nonyl ketone",NA,"EPHY",NA,"NON_INSCRITE"
"606","","Piperonyl butoxide",NA,"EPHY",NA,"AUTRE_CAS"
"607","2212-67-1","Molinate",NA,"EPHY",NA,"NON_INSCRITE"
"608","1689-83-4","Ioxynil",NA,"EPHY",NA,"NON_INSCRITE"
"609","","Akanthomyces muscarius strain Ve6 (formerly Lecanicillium muscarium strain Ve6)",NA,"EPHY",NA,"INSCRITE"
"610","55219-65-3","Triadimenol",NA,"EPHY",NA,"NON_INSCRITE"
"611","81335-37-7","Imazaquin",NA,"EPHY",NA,"NON_INSCRITE"
"612","","Repellents by smell/ tall oil crude",NA,"EPHY",NA,"NON_INSCRITE"
"613","","Repellents by smell/ tall oil pitch",NA,"EPHY",NA,"NON_INSCRITE"
"614","","Spodoptera exigua nuclear polyhedrosis virus",NA,"EPHY",NA,"NON_INSCRITE"
"615","","Trichoderma polysporum strain IMI 206039",NA,"EPHY",NA,"NON_INSCRITE"
"616","","Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate",NA,"EPHY",NA,"NON_INSCRITE"
"617","25057-89-0","Bentazone",NA,"EPHY",NA,"INSCRITE"
"618","","Sodium chloride",NA,"EPHY",NA,"INSCRITE"
"619","79277-27-3","Thifensulfuron-methyl",NA,"EPHY",NA,"INSCRITE"
"620","","Plant oils / Spearmint oil",NA,"EPHY",NA,"INSCRITE"
"621","","Mild pepino mosaic virus isolate VX1",NA,"EPHY",NA,"INSCRITE"
"622","","Mild pepino mosaic virus isolate VC1",NA,"EPHY",NA,"INSCRITE"
"623","79538-32-2","Tefluthrin",NA,"EPHY",NA,"INSCRITE"
"624","824-39-5","Sodium ortho-nitrophenolate",NA,"EPHY",NA,"INSCRITE"
"625","","Pepino mosaic virus (PepMV) European (EU) strain, mild isolate Abp1",NA,"EPHY",NA,"INSCRITE"
"626","","Pepino mosaic virus (PepMV) Chilean (CH2) strain, mild isolate Abp2",NA,"EPHY",NA,"INSCRITE"
"627","","Fuberidazole",NA,"EPHY",NA,"NON_INSCRITE"
"628","210880-92-5","Clothianidin",NA,"EPHY",NA,"NON_INSCRITE"
"629","","polyalkylèneglycol",NA,"EPHY",NA,"AUTRE_CAS"
"630","","Straight Chain Lepidopteran Pheromones",NA,"EPHY",NA,"INSCRITE"
"631","","Metarhizium anisopliae var. anisopliae strain BIPESCO 5",NA,"EPHY",NA,"INSCRITE"
"632","","Metarhizium anisopliae var. anisopliae strain F52",NA,"EPHY",NA,"INSCRITE"
"633","73891-99-3","Ester méthylique d'huile de colza (CAS N°73891-99-3)",NA,"EPHY",NA,"AUTRE_CAS"
"634","68153-38-8","Esters de colophane et de diéthylène glycol (CAS N°68153-38-8)",NA,"EPHY",NA,"AUTRE_CAS"
"635","","Spiromesifen",NA,"EPHY",NA,"INSCRITE"
"636","41394-05-2","Metamitron",NA,"EPHY",NA,"INSCRITE"
"637","9008-22-4","Laminarin",NA,"EPHY",NA,"INSCRITE"
"638","","Saccharomyces cerevisiae LAS02",NA,"EPHY",NA,"INSCRITE"
"639","94361-06-5","Cyproconazole",NA,"EPHY",NA,"NON_INSCRITE"
"640","12057-74-8","Magnesium phosphide",NA,"EPHY",NA,"INSCRITE"
"641","85586-25-0 | 67762-38-3","Methyl ester of rapeseed oil",NA,"EPHY",NA,"AUTRE_CAS"
"642","98730-04-2","Benoxacor",NA,"EPHY",NA,"AUTRE_CAS"
"643","8018-01-7 (formerly 8065-67-5)","Mancozeb",NA,"EPHY",NA,"NON_INSCRITE"
"644","76738-62-0","Paclobutrazol",NA,"EPHY",NA,"INSCRITE"
"645","84776-43-2","Acides gras, C14-22 et C14-22 insaturés, méthyl ester, sulfatés, sels de sodium (CAS N°84776-43-2)",NA,"EPHY",NA,"AUTRE_CAS"
"646","","Z-13-hexadecen-11-yn-1-yl acetate",NA,"EPHY",NA,"NON_INSCRITE"
"647","89-78-1","Dihydromyrcenol",NA,"EPHY",NA,"AUTRE_CAS"
"648","824-78-2","Sodium para-nitrophenolate",NA,"EPHY",NA,"INSCRITE"
"649","76674-21-0","Flutriafol",NA,"EPHY",NA,"NON_INSCRITE"
"650","99129-21-2","Clethodim",NA,"EPHY",NA,"INSCRITE"
"651","99105-77-8","Sulcotrione",NA,"EPHY",NA,"INSCRITE"
"652","","Sesame oil",NA,"EPHY",NA,"AUTRE_CAS"
"653","3100-04-7","1-methylcyclopropene",NA,"EPHY",NA,"INSCRITE"
"654","","Bacillus amyloliquefaciens MBI 600",NA,"EPHY",NA,"INSCRITE"
"655","","Bacillus amyloliquefaciens subsp. plantarum D747",NA,"EPHY",NA,"INSCRITE"
"656","101200-48-0","Tribenuron",NA,"EPHY",NA,"INSCRITE"
"657","42874-03-3","Oxyfluorfen",NA,"EPHY",NA,"INSCRITE"
"658","148477-71-8","Spirodiclofen",NA,"EPHY",NA,"NON_INSCRITE"
"659","99607-70-2","Cloquintocet mexyl",NA,"EPHY",NA,"AUTRE_CAS"
"660","221667-31-8","Cyprosulfamide",NA,"EPHY",NA,"AUTRE_CAS"
"661","","Triflumizole",NA,"EPHY",NA,"NON_INSCRITE"
"662","","Ethametsulfuron methyl",NA,"EPHY",NA,"NON_INSCRITE"
"663","96489-71-3","Pyridaben",NA,"EPHY",NA,"INSCRITE"
"664","175013-18-0","Pyraclostrobin",NA,"EPHY",NA,"INSCRITE"
"665","","Acide citrique, monohydraté (CAS n° 5949-29-1)",NA,"EPHY",NA,"AUTRE_CAS"
"666","","Sulfate d'ammonium (CAS n° 7783-20-2)",NA,"EPHY",NA,"AUTRE_CAS"
"667","1317-39-1","Copper compounds",NA,"EPHY",NA,"INSCRITE"
"668","208465-21-8  - 400852-66-6 (parent)","Mesosulfuron",NA,"EPHY",NA,"INSCRITE"
"669","26225-79-6","Ethofumesate",NA,"EPHY",NA,"INSCRITE"
"670","13977-65-6 for potassium hydrogen phosphonate - 13492-26-7 for dipotassium phosphonate Mixture: none","Potassium phosphonates",NA,"EPHY",NA,"INSCRITE"
"671","14808-60-7 (Quartz) | 7637-86-9 (Silicon dioxide)","Quartz sand",NA,"EPHY",NA,"INSCRITE"
"672","298-14-6","Potassium hydrogen carbonate",NA,"EPHY",NA,"INSCRITE"
"673","29232-93-7","Pirimiphos-methyl",NA,"EPHY",NA,"INSCRITE"
"674","124-38-9","Carbon dioxide",NA,"EPHY",NA,"INSCRITE"
"675","149877-41-8","Bifenazate",NA,"EPHY",NA,"INSCRITE"
"676","","Prothioconazole",NA,"EPHY",NA,"INSCRITE"
"677","150114-71-9","Aminopyralid",NA,"EPHY",NA,"INSCRITE"
"678","148-79-8","Thiabendazole",NA,"EPHY",NA,"INSCRITE"
"679","61791-23-9","huile de soja éthoxylée (CAS N° 61791-23-9)",NA,"EPHY",NA,"AUTRE_CAS"
"680","","dihydromyrcénol (CAS N° 18479-58-8)",NA,"EPHY",NA,"AUTRE_CAS"
"681","907204-31-3","Fluxapyroxad",NA,"EPHY",NA,"INSCRITE"
"682","23135-22-0","Oxamyl",NA,"EPHY",NA,"INSCRITE"
