numero AMM;nom produit;Libellé court;Libellé long;
2090008;FLOWSAN FS;DA;Mention d'avertissement : Danger;
8800011;VITAVAX EXTRA;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
8800011;VITAVAX EXTRA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8800011;VITAVAX EXTRA;AT;Mention d'avertissement : Attention;
9200024;ACTIPRON PLUS;C1;Danger par aspiration - Catégorie 1;
9200024;ACTIPRON PLUS;C1;Sensibilisants cutanés - Catégorie 1;
9200024;ACTIPRON PLUS;DA;Mention d'avertissement : Danger;
2190893;EXTASE GOLD;C4;Toxicité aiguë par inhalation - Catégorie 4;
2190893;EXTASE GOLD;C2;Cancérogénicité - Catégorie 2;
2190893;EXTASE GOLD;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190893;EXTASE GOLD;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190893;EXTASE GOLD;AT;Mention d'avertissement : Attention;
9800401;SPASIS;C1;Danger par aspiration - Catégorie 1;
9800401;SPASIS;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
9800401;SPASIS;DA;Mention d'avertissement : Danger;
2180198;DOURO EC;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2180198;DOURO EC;C2;Toxiques pour la reproduction - Catégorie 2;
2180198;DOURO EC;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2180198;DOURO EC;AT;Mention d'avertissement : Attention;
2171122;KAMILAC WG;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2171122;KAMILAC WG;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2171122;KAMILAC WG;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2171122;KAMILAC WG;AT;Mention d'avertissement : Attention;
9400459;RAK 1 + 2 COCHYLIS + EUDEMIS 2 GENERATIONS;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
9400459;RAK 1 + 2 COCHYLIS + EUDEMIS 2 GENERATIONS;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2170321;KATOUN GOLD;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2170321;KATOUN GOLD;AT;Mention d'avertissement : Attention;
2180657;CUIVRISTAL;C4;Toxicité aiguë par voie orale - Catégorie 4;
2180657;CUIVRISTAL;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2180657;CUIVRISTAL;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2180657;CUIVRISTAL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180657;CUIVRISTAL;AT;Mention d'avertissement : Attention;
2190252;DECIS TRAP MC;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190252;DECIS TRAP MC;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190252;DECIS TRAP MC;AT;Mention d'avertissement : Attention;
2190187;HARMONIX FOLIAPLUS;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2190187;HARMONIX FOLIAPLUS;AA;Pas de mention d'avertissement;
2150247;SOUVERAIN OD;C2;Toxiques pour la reproduction - Catégorie 2;
2150247;SOUVERAIN OD;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2150247;SOUVERAIN OD;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2150247;SOUVERAIN OD;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2150247;SOUVERAIN OD;AT;Mention d'avertissement : Attention;
2210731;LATIFAM EXTRA;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2210731;LATIFAM EXTRA;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2210731;LATIFAM EXTRA;AT;Mention d'avertissement : Attention;
9900263;CYCOCEL CL 2000;C3;Toxicité aiguë par voie orale - Catégorie 3;
9900263;CYCOCEL CL 2000;C4;Toxicité aiguë par inhalation - Catégorie 4;
9900263;CYCOCEL CL 2000;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
9900263;CYCOCEL CL 2000;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9900263;CYCOCEL CL 2000;C1;Substances et mélanges corrosifs pour les métaux - Catégorie 1;
9900263;CYCOCEL CL 2000;DA;Mention d'avertissement : Danger;
2100164;GAL-GONE;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2100164;GAL-GONE;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100164;GAL-GONE;Asp, cat 1;Danger par aspiration, catégorie 1;
2100164;GAL-GONE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100164;GAL-GONE;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2010499;MIRAGE 450;C4;Toxicité aiguë par voie orale - Catégorie 4;
2010499;MIRAGE 450;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2010499;MIRAGE 450;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2010499;MIRAGE 450;TSOC-Unique 3;Historique - Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires;
2010499;MIRAGE 450;Asp, cat 1;Danger par aspiration, catégorie 1;
2010499;MIRAGE 450;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2010499;MIRAGE 450;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2010499;MIRAGE 450;C3;Liquides inflammables - Catégorie 3;
2170701;SAMOYEDO;C1;Sensibilisants cutanés - Catégorie 1;
2170701;SAMOYEDO;AT;Mention d'avertissement : Attention;
8800567;CAMEO;Sc;Sensibilisation cutanée;
8800567;CAMEO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8800567;CAMEO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9200331;QUETZAL;C2;Cancérogénicité - Catégorie 2;
9200331;QUETZAL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2150845;BACKPACK;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2150845;BACKPACK;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2150845;BACKPACK;C1;Sensibilisants cutanés - Catégorie 1;
2150845;BACKPACK;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2150845;BACKPACK;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2150845;BACKPACK;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2150845;BACKPACK;AT;Mention d'avertissement : Attention;
2090072;STERCO;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2090072;STERCO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090072;STERCO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090072;STERCO;AT;Mention d'avertissement : Attention;
2100001;GUILD;C1;Sensibilisants cutanés - Catégorie 1;
2100001;GUILD;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2100001;GUILD;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100001;GUILD;AT;Mention d'avertissement : Attention;
9900135;ADDAX;C1;Sensibilisants cutanés - Catégorie 1;
9900135;ADDAX;C2;Toxiques pour la reproduction - Catégorie 2;
9900135;ADDAX;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9900135;ADDAX;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090152;JUNCTION;AT;Mention d'avertissement : Attention;
2100201;LANCER 120 SELECT;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100201;LANCER 120 SELECT;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2100201;LANCER 120 SELECT;AT;Mention d'avertissement : Attention;
2100240;LANCER 120 JARDISELECT;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100240;LANCER 120 JARDISELECT;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2100240;LANCER 120 JARDISELECT;AT;Mention d'avertissement : Attention;
9300270;PRELUDE 20 FS;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9300270;PRELUDE 20 FS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2000051;STARTER;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2000051;STARTER;AT;Mention d'avertissement : Attention;
2100219;GLYPHOSATE 180 G/L;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100065;ERGON;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2100065;ERGON;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100065;ERGON;AT;Mention d'avertissement : Attention;
2120083;KYRIEL;Sc;Sensibilisation cutanée;
2120083;KYRIEL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100098;CLINIC SOL;AT;Mention d'avertissement : Attention;
2100102;CLINIC SELECT;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100102;CLINIC SELECT;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2100102;CLINIC SELECT;AT;Mention d'avertissement : Attention;
2100100;CLINIC JARDISELECT;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100100;CLINIC JARDISELECT;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2100100;CLINIC JARDISELECT;AT;Mention d'avertissement : Attention;
2000206;ZEP DESERB 360;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
8800499;TONIPLANT;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
8800499;TONIPLANT;DA;Mention d'avertissement : Danger;
2210420;PYRUS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2210420;PYRUS;AT;Mention d'avertissement : Attention;
2000341;ROUNDUP ENERGY;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2000341;ROUNDUP ENERGY;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
7400057;ROUNDUP;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2160412;LISERONS MOUSS';TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2160412;LISERONS MOUSS';C1;Aérosols - Catégorie 1;
2160412;LISERONS MOUSS';C1;Aérosols - Catégorie 1;
2160412;LISERONS MOUSS';DA;Mention d'avertissement : Danger;
9100479;BUGGY S;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
9100479;BUGGY S;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2140123;PRADO;C2;Cancérogénicité - Catégorie 2;
2140123;PRADO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2140123;PRADO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2140123;PRADO;AT;Mention d'avertissement : Attention;
2040201;XOKKO GAZON FLASH;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2040201;XOKKO GAZON FLASH;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2040201;XOKKO GAZON FLASH;AT;Mention d'avertissement : Attention;
2160859;VASTIMO;C1;Danger par aspiration - Catégorie 1;
2160859;VASTIMO;C4;Toxicité aiguë par voie orale - Catégorie 4;
2160859;VASTIMO;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2160859;VASTIMO;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2160859;VASTIMO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2160859;VASTIMO;DA;Mention d'avertissement : Danger;
2110161;ENVISION 450 PJT;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2110161;ENVISION 450 PJT;AA;Pas de mention d'avertissement;
9800277;PRIMUS;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9800277;PRIMUS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9800277;PRIMUS;AT;Mention d'avertissement : Attention;
7400648;ROOTONE 10;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2090063;NATIVO;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2090063;NATIVO;C2;Toxiques pour la reproduction - Catégorie 2;
2090063;NATIVO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090063;NATIVO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090063;NATIVO;AT;Mention d'avertissement : Attention;
9300065;ROUNDUP PRO 2;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9300065;ROUNDUP PRO 2;AA;Pas de mention d'avertissement;
2100033;BISCAYA;C4;Toxicité aiguë par voie orale - Catégorie 4;
2100033;BISCAYA;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2100033;BISCAYA;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100033;BISCAYA;C2;Cancérogénicité - Catégorie 2;
2100033;BISCAYA;Repr. 1A, 1B;Historique - Toxicité pour la reproduction, catégories 1A, 1B;
2100033;BISCAYA;TSOC-Unique 3;Historique - Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Effets narcotiques;
2100033;BISCAYA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100033;BISCAYA;DA;Mention d'avertissement : Danger;
2060133;CALYPSO;C4;Toxicité aiguë par voie orale - Catégorie 4;
2060133;CALYPSO;C4;Toxicité aiguë par inhalation - Catégorie 4;
2060133;CALYPSO;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2060133;CALYPSO;C2;Cancérogénicité - Catégorie 2;
2060133;CALYPSO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2060133;CALYPSO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2060133;CALYPSO;C1B;Toxiques pour la reproduction - Catégories 1B;
2060133;CALYPSO;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2060133;CALYPSO;DA;Mention d'avertissement : Danger;
2090040;EXEMPTOR;C2;Cancérogénicité - Catégorie 2;
2090040;EXEMPTOR;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090040;EXEMPTOR;C1A;Toxiques pour la reproduction - Catégories 1A;
2090040;EXEMPTOR;C1B;Toxiques pour la reproduction - Catégories 1B;
2090040;EXEMPTOR;DA;Mention d'avertissement : Danger;
2090060;PROTEUS;C4;Toxicité aiguë par voie orale - Catégorie 4;
2090060;PROTEUS;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2090060;PROTEUS;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2090060;PROTEUS;C1;Sensibilisants cutanés - Catégorie 1;
2090060;PROTEUS;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2090060;PROTEUS;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2090060;PROTEUS;C2;Cancérogénicité - Catégorie 2;
2090060;PROTEUS;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090060;PROTEUS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090060;PROTEUS;C1A;Toxiques pour la reproduction - Catégories 1A;
2090060;PROTEUS;C1B;Toxiques pour la reproduction - Catégories 1B;
2090060;PROTEUS;DA;Mention d'avertissement : Danger;
2110121;SONIDO;C4;Toxicité aiguë par voie orale - Catégorie 4;
2110121;SONIDO;C2;Cancérogénicité - Catégorie 2;
2110121;SONIDO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2110121;SONIDO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2110121;SONIDO;C1B;Toxiques pour la reproduction - Catégories 1B;
2110121;SONIDO;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2110121;SONIDO;DA;Mention d'avertissement : Danger;
7400755;RHODOFIX;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
7400755;RHODOFIX;AT;Mention d'avertissement : Attention;
2010027;MILBEKNOCK EC;C1;Danger par aspiration - Catégorie 1;
2010027;MILBEKNOCK EC;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2010027;MILBEKNOCK EC;C3;Liquides inflammables - Catégorie 3;
2010027;MILBEKNOCK EC;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2010027;MILBEKNOCK EC;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2010027;MILBEKNOCK EC;AT;Mention d'avertissement : Attention;
2010027;MILBEKNOCK EC;DA;Mention d'avertissement : Danger;
2090106;TOPENCO EC;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2090106;TOPENCO EC;C2;Toxiques pour la reproduction - Catégorie 2;
2090106;TOPENCO EC;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2090106;TOPENCO EC;AT;Mention d'avertissement : Attention;
2170501;JAVISE MAX;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170501;JAVISE MAX;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170501;JAVISE MAX;AT;Mention d'avertissement : Attention;
2100021;FOLPEC ADVANCE 80WG;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2100021;FOLPEC ADVANCE 80WG;C1;Sensibilisants cutanés - Catégorie 1;
2100021;FOLPEC ADVANCE 80WG;C2;Cancérogénicité - Catégorie 2;
2100021;FOLPEC ADVANCE 80WG;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100021;FOLPEC ADVANCE 80WG;AT;Mention d'avertissement : Attention;
2090101;NICOZEA;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090101;NICOZEA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090101;NICOZEA;AT;Mention d'avertissement : Attention;
2180333;ZAMPRO ULTRA;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2180333;ZAMPRO ULTRA;AA;Pas de mention d'avertissement;
2090131;SMARTFRESH SMARTTABS;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2090131;SMARTFRESH SMARTTABS;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2090131;SMARTFRESH SMARTTABS;AT;Mention d'avertissement : Attention;
2160016;FOSFOCYMSTAR;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2160016;FOSFOCYMSTAR;C2;Cancérogénicité - Catégorie 2;
2160016;FOSFOCYMSTAR;C2;Toxiques pour la reproduction - Catégorie 2;
2160016;FOSFOCYMSTAR;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2160016;FOSFOCYMSTAR;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2160016;FOSFOCYMSTAR;AT;Mention d'avertissement : Attention;
2160074;LIFE SCIENTIFIC FOSETYL-AL/FOLPEL;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2160074;LIFE SCIENTIFIC FOSETYL-AL/FOLPEL;C1;Sensibilisants cutanés - Catégorie 1;
2160074;LIFE SCIENTIFIC FOSETYL-AL/FOLPEL;C2;Cancérogénicité - Catégorie 2;
2160074;LIFE SCIENTIFIC FOSETYL-AL/FOLPEL;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2160074;LIFE SCIENTIFIC FOSETYL-AL/FOLPEL;AT;Mention d'avertissement : Attention;
2020238;AMON EV;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2020238;AMON EV;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2020238;AMON EV;AT;Mention d'avertissement : Attention;
2060129;STRATEGE G;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2060129;STRATEGE G;AT;Mention d'avertissement : Attention;
2000374;RAPSOL WG;C2;Cancérogénicité - Catégorie 2;
2000374;RAPSOL WG;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2000374;RAPSOL WG;AT;Mention d'avertissement : Attention;
2171240;SUCCESSOR PRO;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2171240;SUCCESSOR PRO;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2171240;SUCCESSOR PRO;C1;Sensibilisants cutanés - Catégorie 1;
2171240;SUCCESSOR PRO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2171240;SUCCESSOR PRO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2171240;SUCCESSOR PRO;C3;Liquides inflammables - Catégorie 3;
2171240;SUCCESSOR PRO;AT;Mention d'avertissement : Attention;
2171240;SUCCESSOR PRO;AT;Mention d'avertissement : Attention;
2171240;SUCCESSOR PRO;DA;Mention d'avertissement : Danger;
2170498;AMULETTE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170498;AMULETTE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170498;AMULETTE;AT;Mention d'avertissement : Attention;
2160555;SPYRIT WG;C1;Sensibilisants cutanés - Catégorie 1;
2160555;SPYRIT WG;C2;Cancérogénicité - Catégorie 2;
2160555;SPYRIT WG;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2160555;SPYRIT WG;AT;Mention d'avertissement : Attention;
8400537;FUNGAFLOR 75C;C4;Toxicité aiguë par voie orale - Catégorie 4;
8400537;FUNGAFLOR 75C;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
8400537;FUNGAFLOR 75C;C2;Cancérogénicité - Catégorie 2;
8400537;FUNGAFLOR 75C;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8400537;FUNGAFLOR 75C;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8400537;FUNGAFLOR 75C;AT;Mention d'avertissement : Attention;
8400537;FUNGAFLOR 75C;DA;Mention d'avertissement : Danger;
2150078;NERO;C4;Toxicité aiguë par voie orale - Catégorie 4;
2150078;NERO;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2150078;NERO;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2150078;NERO;C1;Sensibilisants cutanés - Catégorie 1;
2150078;NERO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2150078;NERO;AT;Mention d'avertissement : Attention;
2180894;CURAME 25WG;C4;Toxicité aiguë par inhalation - Catégorie 4;
2180894;CURAME 25WG;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2180894;CURAME 25WG;C2;Toxiques pour la reproduction - Catégorie 2;
2180894;CURAME 25WG;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2180894;CURAME 25WG;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180894;CURAME 25WG;AT;Mention d'avertissement : Attention;
2180894;CURAME 25WG;AT;Mention d'avertissement : Attention;
2180894;CURAME 25WG;DA;Mention d'avertissement : Danger;
2160393;PREVOT;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2160393;PREVOT;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2160393;PREVOT;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2160393;PREVOT;AT;Mention d'avertissement : Attention;
2170542;FLYPACK WALNUT HUSK;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170542;FLYPACK WALNUT HUSK;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170542;FLYPACK WALNUT HUSK;AT;Mention d'avertissement : Attention;
2180691;FLYPACK COMPLETA;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2180691;FLYPACK COMPLETA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180691;FLYPACK COMPLETA;AT;Mention d'avertissement : Attention;
2190253;FLYPACK CERASI;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190253;FLYPACK CERASI;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190253;FLYPACK CERASI;AT;Mention d'avertissement : Attention;
2170435;LOBETEC;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2170435;LOBETEC;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2170435;LOBETEC;DA;Mention d'avertissement : Danger;
9700116;CLORIL;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
9700116;CLORIL;C1;Sensibilisants cutanés - Catégorie 1;
9700116;CLORIL;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
9700116;CLORIL;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
9700116;CLORIL;C2;Cancérogénicité - Catégorie 2;
9700116;CLORIL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9700116;CLORIL;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
9700116;CLORIL;DA;Mention d'avertissement : Danger;
2180662;POMAX;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180662;POMAX;AT;Mention d'avertissement : Attention;
2110060;CHEYENNE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2110060;CHEYENNE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2110060;CHEYENNE;AT;Mention d'avertissement : Attention;
2130063;PRIMERO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2130063;PRIMERO;AT;Mention d'avertissement : Attention;
2171066;PULSAR PLUS;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2171066;PULSAR PLUS;AA;Pas de mention d'avertissement;
9900257;BOUILLIE BORDELAISE SUPER 20 K;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9900257;BOUILLIE BORDELAISE SUPER 20 K;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9900257;BOUILLIE BORDELAISE SUPER 20 K;AT;Mention d'avertissement : Attention;
2120033;ISOMATE-JARDIN;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2120033;ISOMATE-JARDIN;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2120033;ISOMATE-JARDIN;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2120033;ISOMATE-JARDIN;DA;Mention d'avertissement : Danger;
2020366;DISCUS EV;C2;Cancérogénicité - Catégorie 2;
2020366;DISCUS EV;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2020366;DISCUS EV;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2020366;DISCUS EV;AT;Mention d'avertissement : Attention;
2050145;HERBATAK 2 PLUS;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2050145;HERBATAK 2 PLUS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2050145;HERBATAK 2 PLUS;AT;Mention d'avertissement : Attention;
2180245;CITO MAX;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2180245;CITO MAX;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2180245;CITO MAX;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
