numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
2210389;PISTOL EV;H400;Très toxique pour les organismes aquatiques;
2210389;PISTOL EV;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210389;PISTOL EV;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique.;
2110078;DASKOR 440;H302;Nocif en cas d'ingestion;
2110078;DASKOR 440;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2110078;DASKOR 440;H315;Provoque une irritation cutanée;
2110078;DASKOR 440;H317;Peut provoquer une allergie cutanée;
2110078;DASKOR 440;H318;Provoque des lésions oculaires graves;
2110078;DASKOR 440;H336;Peut provoquer somnolence ou des vertiges;
2110078;DASKOR 440;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150083;GARVINE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2150083;GARVINE;H315;Provoque une irritation cutanée;
2150083;GARVINE;H317;Peut provoquer une allergie cutanée;
2150083;GARVINE;H319;Provoque une sévère irritation des yeux;
2150083;GARVINE;H336;Peut provoquer somnolence ou des vertiges;
2150083;GARVINE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7400115;NUVAGRAIN NEBULISATION;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
7400115;NUVAGRAIN NEBULISATION;H315;Provoque une irritation cutanée;
7400115;NUVAGRAIN NEBULISATION;H317;Peut provoquer une allergie cutanée;
7400115;NUVAGRAIN NEBULISATION;H400;Très toxique pour les organismes aquatiques;
7400115;NUVAGRAIN NEBULISATION;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7400115;NUVAGRAIN NEBULISATION;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2140256;NUVAGRAIN 225 EC;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2140256;NUVAGRAIN 225 EC;H315;Provoque une irritation cutanée;
2140256;NUVAGRAIN 225 EC;H317;Peut provoquer une allergie cutanée;
2140256;NUVAGRAIN 225 EC;H336;Peut provoquer somnolence ou des vertiges;
2140256;NUVAGRAIN 225 EC;H400;Très toxique pour les organismes aquatiques;
2140256;NUVAGRAIN 225 EC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120086;RELDAN 2M;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2120086;RELDAN 2M;H315;Provoque une irritation cutanée;
2120086;RELDAN 2M;H317;Peut provoquer une allergie cutanée;
2120086;RELDAN 2M;H336;Peut provoquer somnolence ou des vertiges;
2120086;RELDAN 2M;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120086;RELDAN 2M;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090126;MILDICUT;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090126;MILDICUT;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2110101;SORCIER;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2110101;SORCIER;H315;Provoque une irritation cutanée;
2110101;SORCIER;H317;Peut provoquer une allergie cutanée;
2110101;SORCIER;H318;Provoque des lésions oculaires graves;
2110101;SORCIER;H332;Nocif par inhalation;
2110101;SORCIER;H400;Très toxique pour les organismes aquatiques;
2110101;SORCIER;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110101;SORCIER;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9200091;GAUCHO 350;H302;Nocif en cas d'ingestion;
9200091;GAUCHO 350;H400;Très toxique pour les organismes aquatiques;
9200091;GAUCHO 350;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160752;ONYX;H226;Liquides et vapeurs inflammables;
2160752;ONYX;H315;Provoque une irritation cutanée;
2160752;ONYX;H317;Peut provoquer une allergie cutanée;
2160752;ONYX;H319;Provoque une sévère irritation des yeux;
2160752;ONYX;H400;Très toxique pour les organismes aquatiques;
2160752;ONYX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170089;AZURAL XPRESS;H318;Provoque des lésions oculaires graves;
2170089;AZURAL XPRESS;H318;Provoque des lésions oculaires graves;
2170089;AZURAL XPRESS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010332;SYSTHANE MAX;H226;Liquides et vapeurs inflammables;
2010332;SYSTHANE MAX;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2010332;SYSTHANE MAX;H315;Provoque une irritation cutanée;
2010332;SYSTHANE MAX;H319;Provoque une sévère irritation des yeux;
2010332;SYSTHANE MAX;H335;Peut irriter les voies respiratoires;
2010332;SYSTHANE MAX;H336;Peut provoquer somnolence ou des vertiges;
2010332;SYSTHANE MAX;H361d;Susceptible de nuire au foetus;
2010332;SYSTHANE MAX;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2010332;SYSTHANE MAX;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010332;SYSTHANE MAX;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2140192;NEOREL UL;H317;Peut provoquer une allergie cutanée;
2140192;NEOREL UL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140192;NEOREL UL;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2140192;NEOREL UL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160692;MERLIN FLEXX XTRA;H351;Susceptible de provoquer le cancer;
2160692;MERLIN FLEXX XTRA;H361d;Susceptible de nuire au foetus;
2160692;MERLIN FLEXX XTRA;H400;Très toxique pour les organismes aquatiques;
2160692;MERLIN FLEXX XTRA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210732;AGIXA;H317;Peut provoquer une allergie cutanée;
2210732;AGIXA;H335;Peut irriter les voies respiratoires;
2210732;AGIXA;H400;Très toxique pour les organismes aquatiques;
2210732;AGIXA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090163;GALLUP XTRA 450;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2171250;ALPHASIS J;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2171250;ALPHASIS J;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2190346;AMYLO-X JARDIN;H319;Provoque une sévère irritation des yeux;
2180408;ARB'HIVER JARDIN;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2180858;BIOX-M AMATEUR;H317;Peut provoquer une allergie cutanée;
2190143;BOTAVER;H317;Peut provoquer une allergie cutanée;
2190143;BOTAVER;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180233;MACHO 480 SL;H319;Provoque une sévère irritation des yeux;
2180233;MACHO 480 SL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2160756;SYLLIT 544 SC;H302;Nocif en cas d'ingestion;
2160756;SYLLIT 544 SC;H315;Provoque une irritation cutanée;
2160756;SYLLIT 544 SC;H318;Provoque des lésions oculaires graves;
2160756;SYLLIT 544 SC;H332;Nocif par inhalation;
2160756;SYLLIT 544 SC;H400;Très toxique pour les organismes aquatiques;
2160756;SYLLIT 544 SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110152;TALISMA EC;H302;Nocif en cas d'ingestion;
2110152;TALISMA EC;H317;Peut provoquer une allergie cutanée;
2110152;TALISMA EC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8600313;PIRIGRAIN SLD;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8600313;PIRIGRAIN SLD;H315;Provoque une irritation cutanée;
8600313;PIRIGRAIN SLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8600313;PIRIGRAIN SLD;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100244;NAPRAMID 450;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080019;IODUS 2 CULTURES SPECIALISEES;H317;Peut provoquer une allergie cutanée;
2080019;IODUS 2 CULTURES SPECIALISEES;H319;Provoque une sévère irritation des yeux;
2000301;EQUIP;H315;Provoque une irritation cutanée;
2000301;EQUIP;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2161080;MEVALONE;H319;Provoque une sévère irritation des yeux;
2161080;MEVALONE;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2161080;MEVALONE;EUH208;Contient de l'eugénol et du géraniol. Peut produire une réaction allergique.;
9600199;NEMATHORIN 10 G;H301;Toxique en cas d'ingestion;
9600199;NEMATHORIN 10 G;H317;Peut provoquer une allergie cutanée;
9600199;NEMATHORIN 10 G;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600199;NEMATHORIN 10 G;EUH070;Toxique par contact oculaire;
2110075;BIOXEDA;H317;Peut provoquer une allergie cutanée;
2190396;ALOHA;H400;Très toxique pour les organismes aquatiques;
2190396;ALOHA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170055;INTER DICAMBA;H319;Provoque une sévère irritation des yeux;
2170055;INTER DICAMBA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9400134;CARAT;H400;Très toxique pour les organismes aquatiques;
9400134;CARAT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400133;NIKEYL;H351;Susceptible de provoquer le cancer;
9400133;NIKEYL;H400;Très toxique pour les organismes aquatiques;
9400133;NIKEYL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8800941;ANTILIMACES MINI GRANULES ARMOR;H319;Provoque une sévère irritation des yeux;
2000380;FOLY R;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2000380;FOLY R;H336;Peut provoquer somnolence ou des vertiges;
2000380;FOLY R;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2000380;FOLY R;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2000380;FOLY R;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100143;FLEURUS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100143;FLEURUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9500199;PROPLANT;H317;Peut provoquer une allergie cutanée;
2080114;PROXANIL;H290;Peut être corrosif pour les métaux;
2080114;PROXANIL;H317;Peut provoquer une allergie cutanée;
2080114;PROXANIL;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
2080114;PROXANIL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600120;RHODIASAN FLASH;H302;Nocif en cas d'ingestion;
9600120;RHODIASAN FLASH;H319;Provoque une sévère irritation des yeux;
9600120;RHODIASAN FLASH;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9600120;RHODIASAN FLASH;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600120;RHODIASAN FLASH;EUH208;Contient du Thirame. Peut produire une réaction allergique;
9600120;RHODIASAN FLASH;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090161;VINCARE;H317;Peut provoquer une allergie cutanée;
2090161;VINCARE;H319;Provoque une sévère irritation des yeux;
2090161;VINCARE;H351;Susceptible de provoquer le cancer;
2090161;VINCARE;H400;Très toxique pour les organismes aquatiques;
2090161;VINCARE;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2090161;VINCARE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2170220;VACCIPLANT JARDINS;H317;Peut provoquer une allergie cutanée;
2170220;VACCIPLANT JARDINS;H319;Provoque une sévère irritation des yeux;
2110046;SUXON FOREST;H400;Très toxique pour les organismes aquatiques;
2110046;SUXON FOREST;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150280;NUPRID 600 FS;H302;Nocif en cas d'ingestion;
2150280;NUPRID 600 FS;H400;Très toxique pour les organismes aquatiques;
2150280;NUPRID 600 FS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150280;NUPRID 600 FS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9900350;IMPRIMO;H302;Nocif en cas d'ingestion;
9900350;IMPRIMO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900350;IMPRIMO;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9800331;DOBRAN;H351;Susceptible de provoquer le cancer;
9800331;DOBRAN;H400;Très toxique pour les organismes aquatiques;
9800331;DOBRAN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120021;ALTAR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120175;ALTAR EAJ;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120073;ALTAR PJT;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120073;ALTAR PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100204;ARENT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100204;ARENT;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2100204;ARENT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090191;BARCLAY GALLUP HI-AKTIV;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9300082;BUGGY CONCENTRE;H319;Provoque une sévère irritation des yeux;
9300082;BUGGY CONCENTRE;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020269;BUGGY PLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9300542;BUGGY UPPER;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2000424;BUGGY UPPER 240;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9600319;COSMIC PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160573;COSMIC PJT J;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2020437;ENVIRONET EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2020436;ENVIRONET PJT;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2020436;ENVIRONET PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100241;ISOMATE-OFM;H315;Provoque une irritation cutanée;
2140044;ISONET L PLUS;H315;Provoque une irritation cutanée;
2140044;ISONET L PLUS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140044;ISONET L PLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
7600310;OIDIOL POUDRAGE;H319;Provoque une sévère irritation des yeux;
8400425;FAZOR STAR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2160817;ALCANCE SYNC TEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010350;SUZATOL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010350;SUZATOL;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2010350;SUZATOL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800235;TAMROK DT2;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010335;TCHAO J;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010335;TCHAO J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400406;TCHAO PLUS DT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400410;TCHAO PLUS EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2020048;TERSOL ECOVERT EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2020047;TERSOL ECOVERT PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160575;TERSOL ECOVERT PJT PRO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2160575;TERSOL ECOVERT PJT PRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010037;TYPY;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2210520;DIGATOR;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2210520;DIGATOR;H332;Nocif par inhalation;
2210520;DIGATOR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090130;VINTAGE C DISPERSS;H302;Nocif en cas d'ingestion;
2090130;VINTAGE C DISPERSS;H317;Peut provoquer une allergie cutanée;
2090130;VINTAGE C DISPERSS;H319;Provoque une sévère irritation des yeux;
2090130;VINTAGE C DISPERSS;H351;Susceptible de provoquer le cancer;
2090130;VINTAGE C DISPERSS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150501;PYRINEX M;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2150501;PYRINEX M;H315;Provoque une irritation cutanée;
2150501;PYRINEX M;H317;Peut provoquer une allergie cutanée;
2150501;PYRINEX M;H336;Peut provoquer somnolence ou des vertiges;
2150501;PYRINEX M;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150501;PYRINEX M;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2170392;DECIS TRAP MB;H400;Très toxique pour les organismes aquatiques;
2170392;DECIS TRAP MB;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800096;CATANE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2010509;BOUILLIE BORDELAISE NC 20 K;H400;Très toxique pour les organismes aquatiques;
2010509;BOUILLIE BORDELAISE NC 20 K;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010509;BOUILLIE BORDELAISE NC 20 K;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010509;BOUILLIE BORDELAISE NC 20 K;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2190218;GOLBEX WP;H318;Provoque des lésions oculaires graves;
2190218;GOLBEX WP;H332;Nocif par inhalation;
2170421;DANEVA;H318;Provoque des lésions oculaires graves;
2170421;DANEVA;H361d;Susceptible de nuire au foetus;
2170421;DANEVA;H400;Très toxique pour les organismes aquatiques;
2170421;DANEVA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150246;SHARPEN 40% SC;H400;Très toxique pour les organismes aquatiques;
2150246;SHARPEN 40% SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150785;TEMSA 100;H319;Provoque une sévère irritation des yeux;
2150785;TEMSA 100;H361d;Susceptible de nuire au foetus;
2150785;TEMSA 100;H400;Très toxique pour les organismes aquatiques;
2150785;TEMSA 100;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8800847;TRIMANGOL DG;H317;Peut provoquer une allergie cutanée;
8800847;TRIMANGOL DG;H319;Provoque une sévère irritation des yeux;
8800847;TRIMANGOL DG;H361d;Susceptible de nuire au foetus;
8800847;TRIMANGOL DG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120069;FLOCTER;H319;Provoque une sévère irritation des yeux;
2100212;PHYSALIS;H361d;Susceptible de nuire au foetus;
2100212;PHYSALIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010351;ARCHIPEL;H318;Provoque des lésions oculaires graves;
2010351;ARCHIPEL;H400;Très toxique pour les organismes aquatiques;
2010351;ARCHIPEL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800392;SYLLIT;H315;Provoque une irritation cutanée;
9800392;SYLLIT;H318;Provoque des lésions oculaires graves;
9800392;SYLLIT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160321;SCOMRID;H319;Provoque une sévère irritation des yeux;
2160321;SCOMRID;H351;Susceptible de provoquer le cancer;
2160321;SCOMRID;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090011;ATIC AQUA;H400;Très toxique pour les organismes aquatiques;
2090011;ATIC AQUA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100154;NURELLE D 550;H226;Liquides et vapeurs inflammables;
2100154;NURELLE D 550;H302;Nocif en cas d'ingestion;
2100154;NURELLE D 550;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2100154;NURELLE D 550;H319;Provoque une sévère irritation des yeux;
2100154;NURELLE D 550;H332;Nocif par inhalation;
2100154;NURELLE D 550;H335;Peut irriter les voies respiratoires;
2100154;NURELLE D 550;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500349;ZETANIL F;H317;Peut provoquer une allergie cutanée;
9500349;ZETANIL F;H318;Provoque des lésions oculaires graves;
9500349;ZETANIL F;H351;Susceptible de provoquer le cancer;
9500349;ZETANIL F;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
9500349;ZETANIL F;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500349;ZETANIL F;H413;Peut être nocif à long terme pour les organismes aquatiques;
2090035;RAPIDO PJT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090035;RAPIDO PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100111;ELUMIS;H361d;Susceptible de nuire au foetus;
2100111;ELUMIS;H400;Très toxique pour les organismes aquatiques;
2100111;ELUMIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170381;CALARIS;H302;Nocif en cas d'ingestion;
2170381;CALARIS;H361d;Susceptible de nuire au foetus;
2170381;CALARIS;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2170381;CALARIS;H400;Très toxique pour les organismes aquatiques;
2170381;CALARIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170381;CALARIS;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2170422;SIMBA;H318;Provoque des lésions oculaires graves;
2170422;SIMBA;H361d;Susceptible de nuire au foetus;
2170422;SIMBA;H400;Très toxique pour les organismes aquatiques;
2170422;SIMBA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150112;SANVINE;H315;Provoque une irritation cutanée;
2150112;SANVINE;H317;Peut provoquer une allergie cutanée;
2150112;SANVINE;H332;Nocif par inhalation;
2150112;SANVINE;H351;Susceptible de provoquer le cancer;
2150112;SANVINE;H400;Très toxique pour les organismes aquatiques;
2150112;SANVINE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2150112;SANVINE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2130034;SOLOFOL;H317;Peut provoquer une allergie cutanée;
2130034;SOLOFOL;H319;Provoque une sévère irritation des yeux;
2130034;SOLOFOL;H351;Susceptible de provoquer le cancer;
2130034;SOLOFOL;H400;Très toxique pour les organismes aquatiques;
2130034;SOLOFOL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2179998;SOLOFOL 80% WG;H317;Peut provoquer une allergie cutanée;
2179998;SOLOFOL 80% WG;H319;Provoque une sévère irritation des yeux;
2179998;SOLOFOL 80% WG;H351;Susceptible de provoquer le cancer;
2179998;SOLOFOL 80% WG;H400;Très toxique pour les organismes aquatiques;
2179998;SOLOFOL 80% WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700578;AGRICHEM METAMITRONE WG;H302;Nocif en cas d'ingestion;
9700578;AGRICHEM METAMITRONE WG;H400;Très toxique pour les organismes aquatiques;
2010419;ATLANTIS WG;H315;Provoque une irritation cutanée;
2010419;ATLANTIS WG;H318;Provoque des lésions oculaires graves;
2010419;ATLANTIS WG;H400;Très toxique pour les organismes aquatiques;
2010419;ATLANTIS WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010530;SYSTHANE JARDIN L;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2010530;SYSTHANE JARDIN L;H319;Provoque une sévère irritation des yeux;
2010530;SYSTHANE JARDIN L;H361d;Susceptible de nuire au foetus;
2010530;SYSTHANE JARDIN L;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010530;SYSTHANE JARDIN L;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010425;NICANOR;H400;Très toxique pour les organismes aquatiques;
2010425;NICANOR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010425;NICANOR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2060113;FLORAMITE 240 SC;H317;Peut provoquer une allergie cutanée;
2060113;FLORAMITE 240 SC;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2060113;FLORAMITE 240 SC;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2060113;FLORAMITE 240 SC;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2060113;FLORAMITE 240 SC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100066;ALAR 85 SG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400196;PHOSTOXIN BAG;H260;Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément;
9400196;PHOSTOXIN BAG;H300;Mortel en cas d'ingestion;
9400196;PHOSTOXIN BAG;H311;Toxique par contact cutané;
9400196;PHOSTOXIN BAG;H330;Mortel par inhalation;
9400196;PHOSTOXIN BAG;H400;Très toxique pour les organismes aquatiques;
9500328;DEGESCH PLATE;H260;Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément;
9500328;DEGESCH PLATE;H300;Mortel en cas d'ingestion;
9500328;DEGESCH PLATE;H311;Toxique par contact cutané;
9500328;DEGESCH PLATE;H330;Mortel par inhalation;
9500328;DEGESCH PLATE;H400;Très toxique pour les organismes aquatiques;
2160398;ELYPSE 50 WG;H361d;Susceptible de nuire au foetus;
2160398;ELYPSE 50 WG;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2160398;ELYPSE 50 WG;H400;Très toxique pour les organismes aquatiques;
2160398;ELYPSE 50 WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150122;RIPELOCK TABS 2.0;H319;Provoque une sévère irritation des yeux;
2150122;RIPELOCK TABS 2.0;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020013;BRONCO;H302;Nocif en cas d'ingestion;
